Date,North (mm), East (mm),Lat,Long
01-01-2015,74.13,50.81, 16.2623052386N, -61.527536103 E
02-01-2015,72.4,51.91,,
03-01-2015,72.42,50.4,,
04-01-2015,70.92,51.97,,
05-01-2015,72.77,53.56,,
06-01-2015,69.15,52.05,,
07-01-2015,76.07,52.98,,
08-01-2015,71.52,51.92,,
09-01-2015,72.21,51.35,,
10-01-2015,75.93,49.92,,
11-01-2015,73.77,50.21,,
12-01-2015,72.32,53.56,,
13-01-2015,70.48,50.89,,
14-01-2015,75.88,50.88,,
15-01-2015,76.53,51.58,,
16-01-2015,73.01,50.12,,
17-01-2015,72.87,51.35,,
18-01-2015,75.57,49.66,,
19-01-2015,73.88,48.4,,
20-01-2015,73.01,49.86,,
21-01-2015,71.62,49.48,,
22-01-2015,73.22,50.4,,
23-01-2015,73.74,53.37,,
24-01-2015,74.26,49.72,,
25-01-2015,75.65,50.97,,
26-01-2015,72.68,50.11,,
27-01-2015,73.91,51.18,,
28-01-2015,73.63,50.77,,
29-01-2015,71.98,48.01,,
30-01-2015,74.18,50.35,,
31-01-2015,74.75,50.67,,
01-02-2015,75.32,51.73,,
02-02-2015,73.83,51.39,,
03-02-2015,75.52,48.37,,
04-02-2015,73.12,50.45,,
05-02-2015,71.16,52.64,,
06-02-2015,75.5,51.81,,
07-02-2015,73.8,51.96,,
08-02-2015,72.51,51.74,,
09-02-2015,75.98,49.65,,
10-02-2015,75.12,50.92,,
11-02-2015,75.51,50.71,,
12-02-2015,74.59,49.94,,
13-02-2015,74.25,52.03,,
14-02-2015,76.61,53.62,,
15-02-2015,73.47,54.19,,
16-02-2015,75.51,51.88,,
17-02-2015,74.84,54.63,,
18-02-2015,76.04,54.68,,
19-02-2015,73.03,51.73,,
20-02-2015,75.03,54.85,,
21-02-2015,74.21,51.85,,
22-02-2015,72.07,55.73,,
23-02-2015,76.09,51.52,,
24-02-2015,77.97,53.76,,
25-02-2015,75.92,55.22,,
26-02-2015,76.92,55.81,,
27-02-2015,77.43,54.98,,
28-02-2015,74.15,53.89,,
01-03-2015,75.5,54.14,,
02-03-2015,75.99,56.18,,
03-03-2015,77.33,52.39,,
04-03-2015,76.18,51.87,,
05-03-2015,76.77,52.39,,
06-03-2015,74.21,54.23,,
07-03-2015,75.99,53.51,,
08-03-2015,76.12,54.38,,
09-03-2015,78.36,54.08,,
10-03-2015,76.26,52.31,,
11-03-2015,75.19,52.52,,
12-03-2015,75.21,53.32,,
13-03-2015,78.04,52.57,,
14-03-2015,77.96,52.81,,
15-03-2015,77.15,52.43,,
16-03-2015,75.56,52.55,,
17-03-2015,78.54,54.32,,
18-03-2015,77.48,56.89,,
19-03-2015,77.09,52.34,,
20-03-2015,77.67,56.23,,
21-03-2015,76.46,53.68,,
22-03-2015,77.77,54.2,,
23-03-2015,77.98,54.13,,
24-03-2015,78.78,54.15,,
25-03-2015,77.55,54.56,,
26-03-2015,79.7,54.95,,
27-03-2015,78.12,55.24,,
28-03-2015,77.24,55.91,,
29-03-2015,76.29,52.37,,
30-03-2015,77.21,53.28,,
31-03-2015,76,53.62,,
28-04-2015,78.58,51.63,,
29-04-2015,78.89,46.1,,
30-04-2015,75.86,53.5,,
01-05-2015,76.94,53.55,,
02-05-2015,78.95,50.59,,
03-05-2015,76.9,52.23,,
04-05-2015,78.9,51.3,,
05-05-2015,78.34,53.22,,
06-05-2015,56.32,73.93,,
07-05-2015,77.64,52.29,,
08-05-2015,80.23,50.42,,
09-05-2015,79.95,53.12,,
10-05-2015,79.4,53.61,,
11-05-2015,78.95,51.17,,
12-05-2015,79.13,54,,
13-05-2015,78.21,52.4,,
14-05-2015,79.42,51.43,,
15-05-2015,78.89,52.94,,
16-05-2015,78.63,54.67,,
17-05-2015,78.15,52.41,,
18-05-2015,79.12,53.51,,
19-05-2015,78.46,53.49,,
20-05-2015,80.41,52.03,,
21-05-2015,78.12,54.3,,
22-05-2015,79.87,51.75,,
23-05-2015,78.1,53.27,,
24-05-2015,82.42,55.86,,
25-05-2015,78.98,52.25,,
26-05-2015,82.39,52.54,,
27-05-2015,80.58,53.72,,
28-05-2015,78.61,53.11,,
29-05-2015,81.03,54.87,,
30-05-2015,78.7,54.25,,
31-05-2015,79.45,52.95,,
01-06-2015,80.38,53.98,,
02-06-2015,80.02,50.87,,
03-06-2015,138.27,150.05,,
04-06-2015,91.31,87.73,,
05-06-2015,78.88,89.99,,
06-06-2015,96.99,208.83,,
07-06-2015,59.77,31.24,,
08-06-2015,79.58,53.61,,
09-06-2015,121.19,114.79,,
10-06-2015,25.34,279.57,,
11-06-2015,78.31,-1.11,,
12-06-2015,72.68,33.16,,
13-06-2015,79.96,53.81,,
14-06-2015,80.03,54.02,,
15-06-2015,-99.41,756.39,,
16-06-2015,66.25,36.68,,
17-06-2015,45.42,125.89,,
18-06-2015,80.2,53.8,,
19-06-2015,88.59,144.45,,
20-06-2015,115,3531.55,,
21-06-2015,47.94,-3.07,,
22-06-2015,-13.56,-625.48,,
23-06-2015,78.22,43.26,,
24-06-2015,80.31,54.04,,
25-06-2015,111.62,-23.47,,
26-06-2015,90.18,201.43,,
