date,north,east,site,Lat,Long
2015-01-01,-151.87,-142.33, ALBH, 48.3897811345 N, -123.4874707769 E
2015-01-02,-151.76,-142.48,,,
2015-01-03,-152.28,-142.24,,,
2015-01-04,-152.63,-142.63,,,
2015-01-05,-153.09,-143.03,,,
2015-01-06,-151.87,-141.51,,,
2015-01-07,-152.91,-141.75,,,
2015-01-08,-151.26,-142.5,,,
2015-01-09,-152.87,-142.59,,,
2015-01-10,-152.25,-143.85,,,
2015-01-11,-152.7,-143.2,,,
2015-01-12,-152.98,-142.29,,,
2015-01-13,-152.6,-142.46,,,
2015-01-14,-152.71,-142.8,,,
2015-01-15,-153.02,-142.11,,,
2015-01-16,-153.02,-145.32,,,
2015-01-17,-152.35,-142.41,,,
2015-01-18,-153.65,-142.65,,,
2015-01-19,-153.67,-141.65,,,
2015-01-20,-152.35,-142.49,,,
2015-01-21,-152.7,-142.18,,,
2015-01-22,-153.27,-142.65,,,
2015-01-23,-152.13,-142.94,,,
2015-01-24,-152.39,-142.8,,,
2015-01-25,-153.12,-142.06,,,
2015-01-26,-151.99,-143.28,,,
2015-01-27,-152.57,-142.26,,,
2015-01-28,-151.76,-142.64,,,
2015-01-29,-151.84,-142.6,,,
2015-01-30,-152.08,-142.09,,,
2015-01-31,-152.63,-142.63,,,
2015-02-01,-153.07,-143.1,,,
2015-02-02,-151.69,-142.45,,,
2015-02-03,-153.08,-143.46,,,
2015-02-04,-152.99,-142.53,,,
2015-02-05,-153.02,-142.29,,,
2015-02-06,-151.53,-143.35,,,
2015-02-07,-152.09,-143.17,,,
2015-02-08,-152.45,-142.79,,,
2015-02-09,-152.77,-142.86,,,
2015-02-10,-151.2,-142.24,,,
2015-02-11,-151.96,-141.83,,,
2015-02-12,-152,-142.27,,,
2015-02-13,-151.79,-142.19,,,
2015-02-14,-151.95,-142.07,,,
2015-02-15,-151.59,-142.19,,,
2015-02-16,-150.57,-141.62,,,
2015-02-17,-152.11,-142.6,,,
2015-02-18,-152.53,-142.71,,,
2015-02-19,-152.06,-142.32,,,
2015-02-20,-151.73,-142.44,,,
2015-02-21,-153.24,-142.85,,,
2015-02-22,-152.72,-142.54,,,
2015-02-23,-152.37,-142.84,,,
2015-02-24,-151,-143.75,,,
2015-02-25,-151.5,-143.23,,,
2015-02-26,-152.36,-142.97,,,
2015-02-27,-152.56,-144.12,,,
2015-02-28,-152.16,-144.22,,,
2015-03-01,-153.19,-143.54,,,
2015-03-02,-152.23,-144.12,,,
2015-03-03,-152.24,-143.18,,,
2015-03-04,-152.34,-143.06,,,
2015-03-05,-154.11,-142.9,,,
2015-03-06,-153.53,-142.77,,,
2015-03-07,-153.91,-143.86,,,
2015-03-08,-153.51,-143.57,,,
2015-03-09,-152.99,-144.45,,,
2015-03-10,-153.56,-143.86,,,
2015-03-11,-153.58,-143.84,,,
2015-03-12,-153.02,-143.73,,,
2015-03-13,-153.35,-142.93,,,
2015-03-14,-152.67,-145.88,,,
2015-03-15,-154.39,-144.15,,,
2015-03-16,-153.52,-143.74,,,
2015-03-17,-152.59,-144.19,,,
2015-03-18,-154.08,-143.18,,,
2015-03-19,-154.95,-144.21,,,
2015-03-20,-153.53,-143.69,,,
2015-03-21,-154.32,-144.03,,,
2015-03-22,-152.89,-143.67,,,
2015-03-23,-153.58,-143.79,,,
2015-03-24,-153.88,-143.35,,,
2015-03-25,-153.85,-144.13,,,
2015-03-26,-154.16,-142.49,,,
2015-03-27,-154.32,-143.14,,,
2015-03-28,-154.26,-145.55,,,
2015-03-29,-154.64,-143.61,,,
2015-03-30,-153.89,-144.74,,,
2015-03-31,-154.96,-144.71,,,
