DATE,NORTH,EAST
2015-01-01,39.04,-305.63
2015-01-02,39.59,-306.98
2015-01-03,39.55,-305.95
2015-01-04,39.21,-307.27
2015-01-05,38.79,-307.4
2015-01-06,39.02,-307.25
2015-01-07,38.31,-308.25
2015-01-08,36.15,-308.31
2015-01-09,35.87,-307.47
2015-01-10,35.78,-308.3
2015-01-11,35.38,-308.59
2015-01-12,37.38,-309.14
2015-01-13,36.89,-309.44
2015-01-14,36.76,-308.23
2015-01-15,35.93,-308.96
2015-01-16,36.72,-308.51
2015-01-17,35,-307.98
2015-01-18,36.16,-306.94
2015-01-19,36.33,-308.37
2015-01-20,36.11,-310.08
2015-01-21,35.75,-309.33
2015-01-22,34.76,-308.91
2015-01-23,34.73,-310.39
2015-01-24,33.86,-310.34
2015-01-25,36.62,-311.95
2015-01-26,36.62,-312.3
2015-01-27,37.15,-311.45
2015-01-28,38.44,-312.4
2015-01-29,38.12,-312.84
2015-01-30,35.99,-312.39
2015-01-31,33.35,-311.89
2015-02-01,33.96,-311.93
2015-02-02,33.26,-311.83
2015-02-03,32.83,-311.48
2015-02-04,34.1,-312.03
2015-02-05,36.17,-312.72
2015-02-06,36.19,-312.17
2015-02-07,35.5,-314.45
2015-02-08,36.39,-313.29
2015-02-09,35.76,-313.18
2015-02-10,36.03,-313.55
2015-02-11,36.01,-311.99
2015-02-12,36.84,-313.32
2015-02-13,35.7,-312.78
2015-02-14,34.67,-312.97
2015-02-15,34.64,-314.01
2015-02-16,34.65,-315.02
2015-02-17,37.02,-314.23
2015-02-18,37.23,-314.35
2015-02-19,35.18,-315.21
2015-02-20,37.49,-316.8
2015-02-21,38.96,-316.75
2015-02-22,39.14,-317.3
2015-02-23,40.69,-315.93
2015-02-24,40.06,-314.27
2015-02-25,37.63,-312.84
2015-02-26,39.14,-310.89
2015-02-27,39.02,-309
2015-02-28,38.54,-306.58
2015-03-01,40.48,-306.48
2015-03-02,40.79,-307.94
2015-03-03,41.93,-306.67
2015-03-04,42.79,-304.46
2015-03-05,41.67,-307.03
2015-03-06,41,-307.17
2015-03-07,40.7,-306.66
2015-03-08,41.2,-306.1
2015-03-09,41.33,-306.26
2015-03-10,41.5,-307.29
2015-03-11,41.88,-307.14
2015-03-12,42.06,-307.51
2015-03-13,40.66,-306.97
2015-03-14,41.35,-306.46
2015-03-15,41.01,-307.54
2015-03-16,41.75,-306.6
2015-03-17,41.45,-308.2
2015-03-19,41.82,-306.88
2015-03-20,42.34,-306.88
2015-03-21,42.22,-310.2
2015-03-22,39.86,-311.76
2015-03-23,40.86,-308.53
2015-03-24,41.46,-306.68
2015-03-25,42.4,-305.53
2015-03-26,41.81,-307.32
2015-03-27,42.79,-308.14
2015-03-28,42.36,-307.75
2015-03-29,41.25,-308.14
2015-03-30,41.47,-307.94
2015-03-31,42.3,-307.68
2015-04-01,42.78,-307.59
2015-04-02,43.64,-308.61
2015-04-03,41.04,-307.98
2015-04-04,41.9,-307.64
2015-04-05,41.75,-307.41
2015-04-06,41.75,-307.37
2015-04-07,41.64,-307.46
2015-04-08,41.59,-306.84
2015-04-09,40.7,-306.72
2015-04-10,40.75,-306.77
2015-04-11,41.89,-308.03
2015-04-12,41.45,-307.12
