DATE,NORTH,EAST
2015-01-01,88.61,-265.53
2015-01-02,87.25,-265.66
2015-01-03,85.82,-263.46
2015-01-04,87.67,-264.17
2015-01-05,88.45,-262.36
2015-01-06,87.59,-261.6
2015-01-07,87.44,-261.77
2015-01-08,86.43,-262.61
2015-01-09,83.94,-260.54
2015-01-10,84.01,-262.78
2015-01-11,85.64,-263.53
2015-01-12,90.41,-263.11
2015-01-13,89.7,-264.06
2015-01-14,89.87,-261.32
2015-01-15,90.69,-265.13
2015-01-16,89.71,-263.52
2015-01-17,88,-263.09
2015-01-18,89.9,-261.92
2015-01-19,89.09,-261.16
2015-01-20,90.43,-264.76
2015-01-21,90.48,-261.47
2015-01-22,87.95,-261.55
2015-01-23,85.93,-266.24
2015-01-24,87.33,-265.27
2015-01-25,88.94,-262.45
2015-01-26,90.03,-263.52
2015-01-27,88.95,-262.28
2015-01-28,89.85,-264.4
2015-01-29,89.71,-265.26
2015-01-30,87.7,-264.89
2015-01-31,84.31,-266.64
2015-02-01,83.84,-265.47
2015-02-02,82.73,-267.12
2015-02-03,85.07,-266.38
2015-02-04,86.19,-265.96
2015-02-05,87.05,-265.73
2015-02-06,85.88,-265.73
2015-02-07,85.01,-267.08
2015-02-08,84.81,-264.68
2015-02-09,83.44,-265.3
2015-02-10,86.1,-268.23
2015-02-11,84.41,-266.66
2015-02-12,84.61,-266.13
2015-02-13,85.57,-268.05
2015-02-14,86.71,-266.46
2015-02-15,88.22,-267.37
2015-02-16,87.67,-269.07
2015-02-17,86.51,-265.75
2015-02-18,87.47,-266.5
2015-02-19,85.02,-265.97
2015-02-20,85.19,-268.81
2015-02-21,85.99,-267.01
2015-02-22,86.91,-268.58
2015-02-23,89.6,-266.28
2015-02-24,91.42,-266.99
2015-02-25,86.1,-273.42
2015-02-26,87.41,-271.5
2015-02-27,88.53,-271.13
2015-02-28,86.67,-268.6
2015-03-01,88.16,-269.56
2015-03-02,86.69,-271.51
2015-03-03,87.87,-269.73
2015-03-04,87.88,-269.6
2015-03-05,87.05,-265.51
2015-03-06,87.52,-266.02
2015-03-07,87.47,-267.78
2015-03-08,87.49,-267.51
2015-03-09,87.18,-268.16
2015-03-10,90.88,-264.77
2015-03-11,89.86,-263.15
2015-03-12,88.2,-264.34
2015-03-13,88.91,-267.26
2015-03-14,88.26,-269.18
2015-03-15,88.28,-268.37
2015-03-16,88.9,-268.05
2015-03-17,87.39,-269.03
2015-03-18,87.17,-266.42
2015-03-19,85.78,-269.01
2015-03-20,87.6,-269.55
2015-03-21,86.94,-268.91
2015-03-22,85.23,-268.18
2015-03-23,84.17,-267.82
2015-03-24,85.83,-269.27
2015-03-25,87.56,-268.71
2015-03-26,88.05,-267.87
2015-03-27,90.8,-268.69
2015-03-28,88.63,-269.53
2015-03-29,90.17,-270.01
2015-03-30,91.02,-270.44
2015-03-31,85.08,-269.2
2015-04-01,86.63,-268.87
2015-04-02,86.01,-269.61
2015-04-03,87.16,-269.17
2015-04-04,87.53,-268.25
2015-04-05,87.59,-268.29
2015-04-06,88.25,-268.92
2015-04-07,87.42,-268.59
2015-04-08,86.41,-268.73
2015-04-09,86.96,-269.63
2015-04-10,87.93,-269.37
2015-04-11,87.74,-269.45
2015-04-12,85.58,-268.89
2015-04-13,88.02,-269.97
2015-04-14,89.03,-267.4
2015-04-15,89.23,-270.91
2015-04-16,86.65,-268.61
2015-04-17,87.58,-268.63
2015-04-18,88.75,-268.86
2015-04-19,88.18,-268.1
2015-04-20,87.15,-269.35
2015-04-21,89.05,-272.53
2015-04-22,87.86,-270.73
2015-04-23,86.07,-270.6
2015-04-24,85.42,-271.94
2015-04-25,85.12,-271.7
2015-04-26,84.58,-270.67
2015-04-27,84.47,-270.59
2015-04-28,85.9,-270.12
2015-04-29,86.3,-270.38
2015-04-30,86.51,-270.71
2015-05-01,87.74,-270.65
2015-05-02,88.4,-271.11
2015-05-03,86.79,-271.54
2015-05-04,88.84,-271.88
2015-05-05,89.16,-271.09
2015-05-06,89.49,-273.49
2015-05-07,88.33,-272.02
2015-05-08,87.8,-271.6
2015-05-09,87.04,-272.1
2015-05-10,88.37,-270.93
2015-05-11,88.61,-272.59
2015-05-12,90.78,-273.11
2015-05-13,93.29,-272.81
2015-05-14,91.36,-271.71
2015-05-15,91.18,-271.31
2015-05-16,89.18,-272.94
2015-05-17,90.01,-273.51
2015-05-18,90.83,-274.09
2015-05-19,89.74,-274.19
2015-05-20,89.02,-273.56
2015-05-21,87.66,-272.64
2015-05-22,88.05,-273.18
2015-05-23,88.07,-273.35
2015-05-24,88.97,-274.52
2015-05-25,89.26,-275.29
2015-05-26,87.67,-274.14
2015-05-27,88.87,-275.03
2015-05-28,89.25,-275.04
2015-05-29,89.11,-275.2
2015-05-30,88.79,-275.03
2015-05-31,87.84,-275.66
2015-06-01,87.69,-274.11
2015-06-02,87.03,-274.86
2015-06-03,86.61,-274.75
2015-06-04,86.51,-275.42
2015-06-05,85.59,-274.65
2015-06-06,85.72,-274.19
2015-06-07,87.27,-273.86
2015-06-08,87.63,-276.09
2015-06-09,87.91,-277.38
2015-06-10,87.43,-274.93
2015-06-11,88.4,-275.96
2015-06-12,87.24,-275.18
2015-06-13,88.03,-275.12
2015-06-14,88.92,-274.82
2015-06-15,88.88,-275.66
2015-06-16,88.46,-274.95
2015-06-17,87.83,-276.35
2015-06-18,88.01,-276.2
2015-06-19,87.79,-275.82
2015-06-20,88.06,-274.82
2015-06-21,86.62,-274.72
2015-06-22,89.89,-275.04
2015-06-23,87.94,-274.34
2015-06-24,87.06,-275.42
2015-06-25,87.19,-274.71
2015-06-26,87.61,-274.99
2015-06-27,87.23,-275.28
2015-06-28,87.44,-274.29
2015-06-29,88.37,-274.92
2015-06-30,88.68,-274.89
2015-07-01,88.61,-274.48
2015-07-02,88.62,-274.45
2015-07-03,89.7,-272.81
2015-07-04,87.76,-274.1
2015-07-05,89.71,-274.91
2015-07-06,88.22,-274.4
2015-07-07,88.14,-275.19
2015-07-08,87.42,-277.5
2015-07-09,87.94,-275.48
2015-07-10,88.94,-274.07
2015-07-11,89.31,-277.03
2015-07-12,89.6,-277.58
2015-07-13,88.8,-277.26
2015-07-14,88.6,-277.54
2015-07-15,88.19,-276.96
2015-07-16,87.71,-276.11
