,0
0,-319.41
1,-320.41
2,-318.91
3,-320.05
4,-317.44
5,-317.16
6,-316.89
7,-318.56
8,-319.3
9,-319.96
10,-320.29
11,-318.85
12,-319.13
13,-317.69
14,-320.0
15,-319.45
16,-319.65
17,-316.32
18,-319.41
19,-320.82
20,-319.16
21,-320.42
22,-321.08
23,-320.09
24,-320.12
25,-321.55
26,-320.16
27,-319.82
28,-319.97
29,-320.59
30,-319.88
31,-319.35
32,-320.36
33,-319.73
34,-319.37
35,-320.05
36,-318.41
37,-320.79
38,-318.82
39,-319.07
40,-320.22
41,-319.09
42,-318.86
43,-319.61
44,-318.88
45,-319.38
46,-320.82
47,-317.05
48,-318.61
49,-317.92
50,-319.49
51,-319.75
52,-320.12
53,-319.01
54,-320.15
55,-321.06
56,-320.02
57,-318.56
58,-320.84
59,-320.84
60,-322.84
61,-322.14
62,-321.24
63,-319.02
64,-318.39
65,-319.72
66,-320.23
67,-319.97
68,-319.2
69,-318.91
70,-318.58
71,-317.83
72,-319.82
73,-317.14
74,-316.58
75,-317.44
76,-316.59
77,-322.42
78,-320.83
79,-320.7
80,-320.84
81,-320.78
82,-321.55
83,-320.79
84,-320.91
85,-321.02
86,-320.64
87,-322.07
88,-322.38
89,-321.59
90,-320.74
91,-321.6
92,-321.58
93,-321.93
94,-320.7
95,-321.23
96,-321.47
97,-322.09
98,-322.41
99,-320.2
100,-319.97
101,-320.74
102,-320.55
103,-320.43
104,-321.41
105,-320.98
106,-321.11
107,-321.69
108,-319.88
109,-321.11
110,-322.49
111,-321.29
112,-321.36
113,-323.19
114,-322.83
115,-322.67
116,-322.33
117,-321.94
118,-322.12
119,-323.49
120,-322.58
121,-322.41
122,-322.85
123,-322.47
124,-322.78
125,-324.42
126,-322.74
127,-323.67
128,-324.72
129,-322.42
130,-324.79
131,-323.5
132,-323.64
133,-325.44
134,-324.57
135,-324.53
136,-324.69
137,-325.68
138,-325.51
139,-325.32
140,-324.75
141,-325.09
142,-324.65
143,-326.06
144,-325.61
145,-325.84
146,-326.66
147,-325.67
148,-326.29
149,-326.57
150,-325.88
151,-325.82
152,-326.23
153,-326.08
154,-327.09
155,-326.77
156,-325.69
157,-326.45
158,-328.12
159,-328.02
160,-327.31
161,-327.38
162,-326.05
163,-327.39
164,-325.93
165,-326.67
166,-326.2
167,-327.96
168,-327.1
169,-326.99
170,-325.66
171,-326.82
172,-325.19
173,-325.33
174,-325.95
175,-325.71
176,-326.46
177,-326.74
178,-325.55
179,-326.51
180,-324.99
181,-326.89
182,-326.27
183,-325.93
184,-325.77
185,-324.95
186,-324.96
187,-325.64
188,-327.15
189,-325.3
190,-324.83
191,-326.69
192,-327.92
193,-326.82
194,-326.91
195,-325.92
196,-325.89
197,-326.33
198,-327.47
199,-326.97
200,-326.85
201,-326.71
202,-328.1
203,-326.88
204,-329.33
205,-328.82
206,-329.18
207,-328.83
208,-329.25
209,-328.8
210,-328.65
211,-328.28
212,-327.44
213,-326.97
214,-326.93
215,-327.81
216,-328.13
217,-328.0
218,-328.2
219,-328.68
220,-328.91
221,-330.96
222,-329.15
223,-328.18
224,-328.65
225,-329.39
226,-329.59
227,-328.72
228,-329.48
229,-329.18
230,-329.44
231,-329.24
232,-329.8
233,-330.23
234,-329.01
235,-329.54
236,-327.84
237,-331.05
238,-329.86
239,-328.55
240,-329.33
241,-330.12
242,-330.19
243,-329.16
244,-329.86
245,-329.03
246,-330.41
247,-329.8
248,-330.28
249,-331.51
250,-331.08
251,-329.75
252,-329.53
253,-330.51
254,-330.24
255,-330.04
256,-329.14
257,-330.59
258,-330.06
259,-330.18
260,-331.9
261,-330.56
262,-330.44
263,-331.04
264,-329.93
265,-330.91
266,-330.46
267,-330.0
268,-331.3
269,-329.61
270,-330.04
271,-329.38
272,-330.83
273,-329.04
274,-329.95
275,-331.54
276,-331.23
277,-331.11
278,-328.44
279,-329.19
280,-329.57
281,-330.35
282,-329.82
283,-329.36
284,-329.99
285,-329.73
286,-328.74
287,-329.75
288,-330.06
289,-329.53
290,-328.78
291,-329.79
292,-330.12
293,-330.87
294,-330.44
295,-330.94
296,-330.59
297,-329.96
298,-331.88
299,-331.37
300,-330.84
301,-328.72
302,-328.38
303,-330.38
304,-330.35
305,-331.34
306,-331.36
307,-331.86
308,-331.57
309,-331.87
310,-331.79
311,-332.14
312,-332.69
313,-332.63
314,-331.79
315,-331.72
316,-332.5
317,-331.53
318,-332.54
319,-333.51
320,-333.51
321,-330.85
322,-331.96
323,-333.72
324,-334.0
325,-331.14
326,-333.22
327,-333.94
328,-333.73
329,-333.51
330,-333.81
331,-333.91
332,-333.55
333,-332.22
334,-332.98
335,-332.91
336,-333.69
337,-333.47
338,-333.77
339,-334.81
340,-333.7
341,-334.38
342,-333.31
343,-332.6
344,-332.08
345,-332.36
346,-332.26
347,-332.48
348,-332.46
349,-333.14
350,-333.63
351,-333.41
352,-334.04
353,-333.95
354,-333.56
355,-333.48
356,-334.62
357,-333.56
358,-334.85
359,-335.8
360,-335.31
361,-334.96
362,-334.62
363,-335.46
364,-335.31
365,-335.69
366,-335.82
367,-336.51
368,-335.23
369,-335.19
370,-335.74
371,-336.39
372,-336.0
373,-336.0
374,-336.47
375,-336.53
376,-335.31
377,-335.7
378,-333.51
379,-337.61
380,-336.09
381,-335.0
382,-334.59
383,-336.23
384,-334.85
385,-336.4
386,-336.24
387,-335.56
388,-335.99
389,-335.76
390,-336.37
391,-335.53
392,-336.19
393,-334.04
394,-334.18
395,-334.54
396,-333.93
397,-335.96
398,-333.98
399,-334.79
400,-334.53
401,-335.0
402,-334.95
403,-336.13
404,-336.02
405,-335.44
406,-335.44
407,-335.23
408,-335.44
409,-335.32
410,-336.58
411,-334.7
412,-334.02
413,-335.27
414,-335.05
415,-334.33
416,-335.52
417,-337.17
418,-334.34
419,-335.03
420,-334.91
421,-335.06
422,-334.62
423,-336.79
424,-334.6
425,-335.99
426,-335.91
427,-335.8
428,-337.22
429,-336.03
430,-336.28
431,-336.72
432,-336.39
433,-336.85
434,-334.94
435,-336.13
436,-336.59
437,-336.76
438,-337.16
439,-335.31
440,-337.13
441,-336.96
442,-336.04
443,-336.1
444,-336.15
445,-336.09
446,-336.29
447,-335.19
448,-336.78
449,-335.55
450,-336.74
451,-337.33
452,-337.96
453,-337.88
454,-337.48
455,-336.78
456,-336.01
457,-336.39
458,-338.02
459,-336.95
460,-338.87
461,-337.78
462,-338.87
463,-337.76
464,-339.3
465,-337.19
