DATE,NORTH,EAST
2015-01-01,-64.84,-155.93
2015-01-02,-65.85,-154.63
2015-01-03,-66.54,-156.47
2015-01-04,-65.48,-153.91
2015-01-05,-65.71,-155.53
2015-01-06,-65.57,-154.89
2015-01-07,-66.08,-155.4
2015-01-08,-65.36,-153.58
2015-01-09,-65.27,-154.29
2015-01-10,-65.76,-154.6
2015-01-11,-65.69,-154.71
2015-01-12,-65.8,-155.85
2015-01-13,-65.86,-156.9
2015-01-14,-65.9,-156.13
2015-01-15,-65.8,-156.24
2015-01-16,-65.69,-155.77
2015-01-17,-64.91,-155.63
2015-01-18,-65.15,-157.64
2015-01-19,-67.63,-156.79
2015-01-20,-67.68,-156.64
2015-01-21,-67.02,-156.83
2015-01-22,-66.88,-156.18
2015-01-23,-67.45,-155.64
2015-01-24,-66.89,-156.02
2015-01-25,-67.08,-155.79
2015-01-26,-67.13,-157.07
2015-01-27,-67.38,-156.62
2015-01-28,-67.99,-156.33
2015-01-29,-68.44,-157.04
2015-01-30,-67.76,-155.75
2015-01-31,-66.82,-156.19
2015-02-01,-68.89,-156.49
2015-02-02,-67.61,-155.34
2015-02-03,-68.57,-156.35
2015-02-04,-65.77,-157.48
2015-02-05,-66.18,-157.25
2015-02-06,-66.28,-157.51
2015-02-07,-65.79,-157.52
2015-02-08,-66.62,-158.13
2015-02-09,-66.32,-157.93
2015-02-10,-68.18,-156.95
2015-02-11,-68.24,-157.33
2015-02-12,-66.91,-158.24
2015-02-13,-67.04,-156.49
2015-02-14,-66.7,-156.18
2015-02-15,-66.27,-156.98
2015-02-16,-65.96,-156.19
2015-02-17,-67.38,-156.49
2015-02-18,-66.66,-158.06
2015-02-19,-66.92,-158.83
2015-02-20,-66.63,-158.1
2015-02-21,-67.5,-158.58
2015-02-22,-67.47,-159.24
2015-02-23,-67.06,-158.73
2015-02-24,-67.32,-156.44
2015-02-25,-68.06,-156.47
2015-02-26,-68.08,-158.37
2015-02-27,-66.71,-158.19
2015-02-28,-66.62,-156.87
2015-03-01,-66.81,-158.22
2015-03-02,-67.31,-156.92
2015-03-03,-66.73,-158.23
2015-03-04,-67.5,-157.57
2015-03-05,-66.83,-157.78
2015-03-06,-66.79,-159.27
2015-03-07,-67.61,-157.3
2015-03-08,-66.81,-156.61
2015-03-09,-66.42,-156.93
2015-03-10,-66.71,-158.06
2015-03-11,-67.72,-156.51
2015-03-12,-65.87,-158.57
2015-03-13,-66.52,-157.34
