DATE,NORTH,EAST
2018-01-14,0,0
2018-01-15,-0.97,0.08
2018-01-16,-1.44,1.15
2018-01-17,-1.75,0.27
2018-01-18,0.02,0.76
2018-01-19,-0.33,0.38
2018-01-20,1.02,-0.58
2018-01-21,-0.4,0.07
2018-01-22,-0.74,0.44
2018-01-23,0.42,-0.69
2018-01-24,0.19,0.94
2018-01-25,-0.41,0.35
2018-01-26,0.55,0.55
2018-01-27,0.99,-1.17
2018-01-28,0.04,0.4
2018-01-29,0.42,-2.01
2018-01-30,0.26,-0.6
2018-01-31,0.81,-2.32
2018-02-01,-0.2,-1.38
2018-02-02,1.09,-1.6
2018-02-03,1.33,-1.58
2018-02-04,1.44,-2.21
2018-02-05,0.83,-1.9
2018-02-06,0.38,-2.09
2018-02-07,0.3,-0.67
2018-02-08,1.55,-2.04
2018-02-09,0.57,-1.63
2018-02-10,0.31,-1.18
2018-02-11,0.83,-2.15
2018-02-12,0.27,-2.74
2018-02-13,0.83,-3.59
2018-02-14,1.2,-2.99
2018-02-15,-0.56,-3.32
2018-02-16,0.45,-2.56
2018-02-17,0.91,-3
2018-02-18,-0.12,-4.5
2018-02-19,1.17,-4.64
2018-02-20,1.74,-3.28
2018-02-21,-0.12,-3.94
2018-02-22,0.6,-4.7
2018-02-23,0.35,-3.36
2018-02-24,2.16,-4.58
2018-03-04,-0.58,-4.64
2018-03-05,0.44,-5.9
2018-03-06,1.06,-5.01
2018-03-07,-0.3,-5.76
2018-03-08,0.56,-7.78
2018-03-09,0.32,-5.68
2018-03-10,0.93,-6.44
2018-03-11,1.15,-6.06
2018-03-12,0.64,-5.59
2018-03-13,0.4,-6.06
2018-03-14,0.77,-5.92
2018-03-15,0.43,-4.4
2018-03-16,0.75,-5.86
2018-03-17,1.06,-7.03
2018-03-18,2.97,-7.52
2018-03-19,2.45,-6.23
2018-03-20,2.29,-6.12
2018-03-21,0.32,-7.86
2018-03-22,1.2,-7.64
2018-03-23,3.86,-7.69
2018-03-27,0.3,-8.37
2018-03-28,3.23,-6.74
2018-03-29,3.22,-6.65
2018-03-30,3.5,-6.51
2018-03-31,2.72,-7.91
2018-04-15,2.86,-9.46
2018-04-16,1.07,-10.3
2018-04-17,0.16,-10.77
2018-04-18,2.72,-9.15
2018-04-19,1.98,-11.07
2018-04-20,3.98,-10.3
2018-04-21,3.79,-9.89
2018-05-13,4.06,-12.34
2018-05-14,4.18,-13.44
2018-05-15,4.54,-12.24
2018-05-16,5.07,-13.21
2018-05-17,4.93,-12.52
2018-05-18,4.47,-13.84
2018-05-19,5.1,-12.19
2018-05-20,4.33,-12.19
2018-05-21,5.07,-13.95
2018-05-22,5.87,-13.23
2018-05-23,4.69,-12.65
2018-05-24,5.22,-13.32
2018-05-25,5.44,-13.37
2018-05-26,4.89,-12.03
2018-05-27,5.57,-13.25
2018-05-28,4.86,-14.16
2018-05-29,5.54,-13.27
2018-05-30,5,-13.67
2018-05-31,5,-13.5
2018-06-01,4.96,-14.4
2018-06-02,5.44,-14.7
2018-06-10,6.6,-14.25
2018-06-11,5.54,-13.79
2018-06-12,5.93,-13.57
2018-06-13,5.22,-13.62
2018-06-14,4.99,-14.9
2018-06-15,5.79,-14.52
2018-06-16,4.99,-15.25
2018-06-17,4.88,-15.22
2018-06-18,4.51,-15.24
2018-06-19,4.72,-15.63
2018-06-20,5.42,-14.61
2018-06-21,4.99,-14.77
2018-06-22,3.84,-15.11
2018-06-23,4.91,-14.76
2018-06-24,4.38,-15.52
2018-06-25,4.92,-15.15
2018-06-26,5.19,-15.13
2018-06-27,4.39,-16.37
2018-06-28,5.37,-15.33
2018-06-29,4.66,-16.17
2018-06-30,4.2,-16.16
2018-07-01,4.77,-16.32
2018-07-02,4.5,-16.19
2018-07-03,4.46,-16.21
2018-07-04,5.14,-15.68
2018-07-05,5.53,-15.76
2018-07-06,5.39,-18.29
2018-07-07,5.43,-17.06
2018-07-08,5.27,-17.16
2018-07-09,5.3,-17.3
2018-07-10,5.2,-16.97
2018-07-11,4.87,-17.95
2018-07-12,4.27,-17.49
2018-07-13,5.44,-17.5
2018-07-14,5.46,-17.79
2018-07-15,5.28,-19.71
2018-07-16,5.38,-17.96
2018-07-17,5.19,-18.36
2018-07-18,5.47,-18.41
2018-07-19,5.4,-17.38
2018-07-20,5.6,-17.85
2018-07-21,4.21,-17.39
2018-07-22,5.26,-17.97
2018-07-23,4.71,-18.71
2018-07-24,5.41,-17.79
2018-07-25,4.91,-19.27
2018-07-26,5.59,-17.73
2018-07-27,5.91,-20.25
2018-07-28,5.53,-18.76
2018-07-29,5.52,-19.99
2018-07-30,5.95,-19.53
2018-07-31,5.44,-19.78
2018-08-01,5.95,-20.09
2018-08-02,5.45,-18.66
2018-08-03,6.99,-18.47
2018-08-04,5.96,-20.01
2018-08-05,6.45,-18.69
2018-08-06,4.86,-21.31
2018-08-07,5.26,-20.84
2018-08-08,6.1,-20.53
2018-08-09,5.68,-21.07
2018-08-10,4.96,-20.55
2018-08-11,5.76,-19.58
2018-08-12,5.64,-20.12
2018-08-13,6.15,-20.68
2018-08-14,5.59,-20.22
2018-08-15,5.19,-21.29
2018-08-16,5.98,-20.73
2018-08-17,7.89,-21.89
2018-08-18,6.98,-20.47
2018-08-19,7.04,-21.23
2018-08-20,5.59,-21.14
2018-08-21,5.11,-21.01
2018-08-22,5.93,-20.84
2018-08-23,6.63,-21.32
2018-08-24,6.02,-21.94
2018-08-25,6.42,-20.71
2018-08-26,5.75,-21.45
2018-08-27,6.18,-21.33
2018-08-28,6.21,-21.84
2018-08-29,7.36,-21.79
2018-08-30,6.79,-22.57
2018-08-31,7.33,-22.15
2018-09-01,7.35,-23.01
2018-09-02,6.15,-21.7
2018-09-03,5.59,-21.93
2018-09-07,6.32,-22.28
2018-09-08,6.63,-23.16
2018-09-09,6.86,-23.42
2018-09-10,6.75,-22.65
2018-09-11,6.97,-23.19
2018-09-12,6.59,-22.07
2018-09-13,7.34,-22.53
2018-09-14,6.47,-23.15
2018-09-15,6.5,-24.25
