DATE,NORTH,EAST
2015-01-01,241.26,-319.41
2015-01-02,241.87,-320.41
2015-01-03,238.98,-318.91
2015-01-04,242.42,-320.05
2015-01-05,242.94,-317.44
2015-01-06,243.2,-317.16
2015-01-07,242.12,-316.89
2015-01-08,242.06,-318.56
2015-01-09,239.49,-319.3
2015-01-10,241.11,-319.96
2015-01-11,241.25,-320.29
2015-01-12,243.23,-318.85
2015-01-13,242.37,-319.13
2015-01-14,241.6,-317.69
2015-01-15,243.01,-320
2015-01-16,243.74,-319.45
2015-01-17,241.47,-319.65
2015-01-18,242.34,-316.32
2015-01-19,239.92,-319.41
2015-01-20,243.12,-320.82
2015-01-21,243.08,-319.16
2015-01-22,240.02,-320.42
2015-01-23,240.57,-321.08
2015-01-24,240.73,-320.09
2015-01-25,241.88,-320.12
2015-01-26,242.48,-321.55
2015-01-27,241.22,-320.16
2015-01-28,243.82,-319.82
2015-01-29,243.63,-319.97
2015-01-30,241.43,-320.59
2015-01-31,240.11,-319.88
2015-02-01,240.68,-319.35
2015-02-02,241.69,-320.36
2015-02-03,239.36,-319.73
2015-02-04,241.29,-319.37
2015-02-05,242.62,-320.05
2015-02-06,241.55,-318.41
2015-02-07,239.97,-320.79
2015-02-08,239.24,-318.82
2015-02-09,238.6,-319.07
2015-02-10,240.77,-320.22
2015-02-11,240.13,-319.09
2015-02-12,240.4,-318.86
2015-02-13,240.89,-319.61
2015-02-14,241.37,-318.88
2015-02-15,241.58,-319.38
2015-02-16,242.18,-320.82
2015-02-17,243.71,-317.05
2015-02-18,241.43,-318.61
2015-02-19,239.23,-317.92
2015-02-20,240.91,-319.49
2015-02-21,240.27,-319.75
2015-02-22,242.23,-320.12
2015-02-23,241.39,-319.01
2015-02-24,243.72,-320.15
2015-02-25,242.09,-321.06
2015-02-26,243.12,-320.02
2015-02-27,242.61,-318.56
2015-02-28,241.29,-320.84
2015-03-01,241.47,-320.84
2015-03-02,241.74,-322.84
2015-03-03,243.37,-322.14
2015-03-04,242.37,-321.24
2015-03-05,241.68,-319.02
2015-03-06,241.88,-318.39
2015-03-07,241.91,-319.72
2015-03-08,240.97,-320.23
2015-03-09,242.42,-319.97
2015-03-10,243.29,-319.2
2015-03-11,243.58,-318.91
2015-03-12,243.93,-318.58
2015-03-13,242.9,-317.83
2015-03-14,243.27,-319.82
2015-03-15,242.85,-317.14
2015-03-16,244.53,-316.58
2015-03-17,244.86,-317.44
2015-03-18,239.93,-316.59
2015-03-19,247.4,-322.42
2015-03-20,244.04,-320.83
2015-03-21,243.3,-320.7
2015-03-22,242.7,-320.84
2015-03-23,241.44,-320.78
2015-03-24,244.12,-321.55
2015-03-25,243.35,-320.79
2015-03-26,242.62,-320.91
2015-03-27,243.51,-321.02
2015-03-28,242.34,-320.64
2015-03-29,243.71,-322.07
2015-03-30,244.16,-322.38
2015-03-31,242.83,-321.59
2015-04-01,244.62,-320.74
2015-04-02,243.95,-321.6
2015-04-03,242.53,-321.58
2015-04-04,242.55,-321.93
2015-04-05,242.6,-320.7
2015-04-06,243,-321.23
2015-04-07,241.87,-321.47
2015-04-08,241.38,-322.09
2015-04-09,243.04,-322.41
2015-04-10,242.87,-320.2
2015-04-11,243.57,-319.97
2015-04-12,240.98,-320.74
2015-04-13,242.63,-320.55
2015-04-14,243.36,-320.43
2015-04-15,242.76,-321.41
2015-04-16,241.5,-320.98
2015-04-17,243.02,-321.11
2015-04-18,244.47,-321.69
2015-04-19,241.58,-319.88
2015-04-20,241.99,-321.11
2015-04-21,245.81,-322.49
2015-04-22,244.16,-321.29
2015-04-23,244.98,-321.36
2015-04-24,244.34,-323.19
2015-04-25,244.18,-322.83
2015-04-26,243.18,-322.67
2015-04-27,243.57,-322.33
2015-04-28,243.91,-321.94
2015-04-29,243.85,-322.12
2015-04-30,244.22,-323.49
2015-05-01,245.19,-322.58
2015-05-02,245.07,-322.41
2015-05-03,244.84,-322.85
2015-05-04,245.64,-322.47
2015-05-05,246.35,-322.78
2015-05-06,248.05,-324.42
2015-05-07,245.19,-322.74
2015-05-08,245.27,-323.67
2015-05-09,244.79,-324.72
2015-05-10,245.66,-322.42
2015-05-11,245.14,-324.79
2015-05-12,246.53,-323.5
2015-05-13,249.11,-323.64
2015-05-14,247.34,-325.44
2015-05-15,246.37,-324.57
2015-05-16,247.44,-324.53
2015-05-17,246.4,-324.69
