DATE,NORTH,EAST
2015-01-01,-82.49,170.12
2015-01-02,-84.27,172.25
2015-01-03,-82.72,168.83
2015-01-04,-84.83,171.43
2015-01-06,-84.52,171.65
2015-01-07,-86.29,170.07
2015-01-08,-83.2,171.96
2015-01-09,-82.99,170.96
2015-01-10,-82.17,171.91
2015-01-11,-84.9,170.61
2015-01-12,-86.56,170.76
2015-01-13,-85.11,170.77
2015-01-14,-84.55,171.37
2015-01-15,-88.58,168.14
2015-01-16,-88.86,166.81
2015-01-17,-90.74,169.14
2015-01-18,-89.44,168.7
2015-01-19,-86.88,168.23
2015-01-20,-88.38,170.01
2015-01-21,-93.39,168.47
2015-01-22,-96.09,166.05
2015-01-23,-90.7,166.64
2015-01-24,-92.09,167.67
2015-01-25,-94.26,167.59
2015-01-26,-90.24,169.93
2015-01-27,-92.39,166.77
2015-01-28,-89.71,166.75
2015-01-29,-92.73,166.48
2015-01-30,-88.17,169.57
2015-01-31,-93.83,169.7
2015-02-01,-92.27,169.37
2015-02-02,-89.17,170.67
2015-02-03,-91.4,170.01
2015-02-04,-92.44,171.73
2015-02-05,-94.24,173.43
2015-02-06,-85.97,172.21
2015-02-07,-90.29,169.75
2015-02-08,-87.45,164.87
2015-02-09,-88.95,167.14
2015-02-10,-87.43,163.83
2015-02-11,-89.08,163.97
2015-02-12,-88.22,166.62
2015-02-13,-87.84,168.49
2015-02-14,-84.91,169.79
2015-02-15,-87.23,171.25
2015-02-16,-89.52,169.72
2015-02-17,-89.63,170.56
2015-02-18,-88.6,166.16
2015-02-19,-89.08,166.72
2015-02-20,-87.97,170.31
2015-02-21,-84.34,169.98
2015-02-22,-88.26,167.4
2015-02-23,-87.82,169.06
2015-02-24,-84.15,170.09
2015-02-25,-85.11,169.27
2015-02-26,-84.54,176.58
2015-02-27,-91.05,170.26
2015-02-28,-91.19,167.55
2015-03-01,-85.08,169.89
2015-03-02,-83.62,168.83
2015-03-03,-84.34,169.97
2015-03-04,-86.3,170.48
2015-03-05,-88.82,171.1
2015-03-06,-87.16,169.16
2015-03-07,-84.66,170.93
2015-03-08,-80.71,169.97
2015-03-09,-85.19,168.38
2015-03-10,-81.26,169.63
2015-03-11,-81.05,169.63
2015-03-12,-84.57,170.5
2015-03-13,-87.16,168.84
2015-03-14,-81.87,170.95
2015-03-15,-85.18,170.71
2015-03-16,-86.33,168.97
2015-03-17,-87.72,167.1
2015-03-18,-87.59,169.4
2015-03-19,-86.36,170.65
2015-03-20,-82.03,171.65
2015-03-21,-86.74,169.38
2015-03-22,-86.59,168.03
2015-03-23,-83.61,169.23
2015-03-24,-83.8,167.77
2015-03-25,-86.79,171.2
2015-03-26,-85.94,170.94
2015-03-27,-85.6,172.82
2015-03-28,-84.88,172.89
