DATE,NORTH,EAST
2018-01-07,0,0
2018-01-08,-0.04,12.63
2018-01-09,-1.44,5.93
2018-01-10,6.58,10.03
2018-01-11,4.64,7.48
2018-01-12,6.5,7.91
2018-01-13,1.3,6.97
2018-01-14,-5.19,15.11
2018-01-15,-0.65,5.81
2018-01-16,0.67,9.71
2018-01-17,8.03,10.32
2018-01-18,5.32,11.47
2018-01-19,8.22,6.76
2018-01-20,6.64,4.33
2018-01-21,2.7,10.03
2018-01-22,-0.13,13.64
2018-01-23,1,8.88
2018-01-24,-3.85,17.01
2018-01-25,-2.7,14.96
2018-01-26,-0.02,16.53
2018-01-27,1.44,5.64
2018-01-28,1.62,19.23
2018-01-29,1.5,4.07
2018-01-30,3.06,8.24
2018-01-31,3.31,6.07
2018-02-01,0.84,-9.3
2018-02-02,-0.28,6.75
2018-02-03,4.19,7.86
2018-02-04,9.22,0.47
2018-02-05,3.77,13.29
2018-02-06,9.94,0.59
2018-02-07,1,18.1
2018-02-08,7.33,10.01
2018-02-09,5.26,6.77
2018-02-10,9.46,10.28
2018-02-11,7.39,7.16
2018-02-12,3.21,9.78
2018-02-13,-9.16,21.77
2018-02-14,3.03,9.04
2018-02-15,-1.55,2.82
2018-02-16,1.95,2.84
2018-02-17,1.17,6.1
2018-02-18,1.99,8
2018-02-19,3.61,7.04
2018-02-20,6.89,6.96
2018-02-21,6.73,1.46
2018-02-22,6.31,7.63
2018-02-23,10.49,9.32
2018-02-24,13.36,12.45
2018-03-04,-5.19,13.13
2018-03-05,-3.54,-1.61
2018-03-06,-5,16.79
2018-03-07,-4.15,10.38
2018-03-08,2.15,-6.35
2018-03-09,-1.73,9.67
2018-03-10,-2.98,6.88
2018-03-11,-3.64,-21.01
2018-03-12,-1.61,-40.77
2018-03-13,-16.57,-12.12
2018-03-14,-2.18,14.51
2018-03-15,-9.86,16.67
2018-03-16,-12.89,4.72
2018-03-17,-11.34,-11.53
2018-03-18,7.01,14.33
2018-03-19,7.29,12.7
2018-03-20,10.79,14.51
2018-03-21,7.96,13.42
2018-03-22,6.06,16.21
2018-03-23,6.36,14.26
2018-03-24,6.46,16.11
2018-03-25,4.81,12.92
2018-03-26,5.04,12.27
2018-03-27,7.64,13.04
2018-03-28,9.08,17.82
2018-03-29,5.81,14.21
2018-03-30,7.2,17.24
2018-03-31,4.52,18.16
2018-04-15,7.88,5.46
2018-04-16,-4.41,-1.47
2018-04-17,-13.49,4.07
2018-04-18,-3.38,12.92
2018-04-19,7.05,8.79
2018-04-20,-10.14,-0.53
2018-04-21,0.22,8.76
2018-05-13,12.55,3.26
2018-05-14,8.78,5.71
2018-05-15,7.25,12.98
2018-05-16,-0.16,19.34
2018-05-17,0.83,15
2018-05-18,0.12,12.96
2018-05-19,4.62,6.97
2018-05-20,-1.14,7.86
2018-05-21,2.75,13.41
2018-05-22,0.33,9.87
2018-05-23,4.1,12.89
2018-05-24,7.3,15.33
2018-05-25,10.11,15.15
2018-05-26,10.39,15.95
2018-05-27,12.17,21.91
2018-05-28,7.3,16.19
2018-05-29,5.27,14.22
2018-05-30,7.7,8.72
2018-05-31,6.32,18.32
2018-06-01,5.3,15.19
2018-06-02,11.76,14.91
2018-06-10,17.61,11.68
2018-06-11,13.68,15.76
2018-06-12,10.77,10.3
2018-06-13,10.98,9.78
2018-06-14,12.9,9.91
2018-06-15,10.17,13.6
2018-06-16,8.37,12.55
2018-06-17,12.21,15.49
2018-06-18,14.82,10.27
2018-06-19,10.06,6.79
2018-06-20,10.84,18.85
2018-06-21,11.4,16.97
2018-06-22,6.44,16.84
2018-06-23,10.38,12.35
2018-06-24,6.5,18.32
2018-06-25,11.17,21.87
2018-06-26,11.28,19.91
2018-06-27,15.64,22.13
2018-06-28,12.08,18.6
2018-06-29,12.24,18.87
2018-06-30,6.79,13.85
2018-07-01,7.23,14.34
2018-07-02,4.03,18.97
2018-07-03,12.2,31.09
2018-07-04,9.89,25.07
2018-07-05,8.46,24.1
2018-07-06,8.43,18.53
2018-07-07,12.02,23.08
2018-07-08,10.83,20.38
2018-07-09,9.88,20.96
2018-07-11,9.92,17.57
2018-07-12,9.27,17.24
2018-07-13,6.54,15.59
2018-07-14,11.31,16.87
2018-07-15,6.9,15.33
2018-07-16,8.19,17.83
2018-07-17,9.61,19.09
2018-07-18,11.4,19.6
2018-07-19,12.25,18.05
2018-07-20,13.05,22.83
2018-07-21,9,20.11
2018-07-22,9.59,18.12
2018-07-23,8.73,18.13
2018-07-24,9.6,19.95
2018-07-25,13.39,19.74
2018-07-26,12.31,18.27
2018-07-27,11.51,21
2018-07-28,11.11,19.41
2018-07-29,13.4,18.97
2018-07-30,10.57,16.38
2018-07-31,10.13,18.08
2018-08-01,9.01,18.86
2018-08-02,7.77,20.2
2018-08-03,11.52,20.48
2018-08-04,4.55,14.34
2018-08-05,13.34,21.28
2018-08-06,12.35,19.97
2018-08-07,5.74,16.94
2018-08-08,12.44,17.55
2018-08-09,8.77,16.67
2018-08-10,7.15,15.18
2018-08-11,5.57,14.56
2018-08-12,4.62,18.94
2018-08-13,7.8,15.04
2018-08-14,12.13,18.13
2018-08-15,8.63,18.01
2018-08-16,9.91,19.61
2018-08-17,12.48,18.45
2018-08-18,9.49,14.79
2018-08-19,10.01,17.79
2018-08-20,10.84,22.78
2018-08-21,11.89,19.14
2018-08-22,4.41,17.76
2018-08-23,7.86,18.92
2018-08-24,6.3,21.13
2018-08-25,8.19,24.18
2018-08-26,9.76,29.28
2018-08-27,7.95,23.15
2018-08-28,7.66,21.5
2018-08-29,12.58,24.02
