DATE,NORTH,EAST
2015-01-01,129.51,-192.46
2015-01-02,129.07,-193.03
2015-01-03,128.86,-194.47
2015-01-04,128.13,-194.74
2015-01-05,129.43,-190.89
2015-01-06,130.98,-191.17
2015-01-07,127.45,-190.53
2015-01-08,128.53,-193.6
2015-01-09,127.11,-192.19
2015-01-10,126.66,-194.23
2015-01-11,126.34,-195.24
2015-01-12,127.41,-194.94
2015-01-13,126.28,-195.63
2015-01-14,125.13,-194.65
2015-01-15,125.97,-195.91
2015-01-16,127.2,-193.2
2015-01-17,128.91,-194.44
2015-01-18,129.6,-193.05
2015-01-19,127.27,-193.33
2015-01-20,136.17,-186.54
2015-01-21,135.81,-188.34
2015-01-22,131.28,-189.97
2015-01-23,131.49,-190.87
2015-01-24,131.3,-189.47
2015-01-25,132.87,-186.59
2015-01-26,135.28,-188.79
2015-01-27,130.81,-189.74
2015-01-28,130.81,-190.83
2015-01-29,130.7,-193.33
2015-01-30,128.11,-192.79
2015-01-31,128.67,-192.21
2015-02-01,133.03,-183.45
2015-02-02,132.29,-187.12
2015-02-03,131.74,-188.37
2015-02-04,132.41,-187.34
2015-02-05,133.89,-186.76
2015-02-06,134.2,-188.17
2015-02-07,134.64,-189.33
2015-02-08,133.23,-189.59
2015-02-09,131.54,-191.49
2015-02-10,132.35,-193.84
2015-02-11,131.09,-195.59
2015-02-12,130.73,-193.41
2015-02-13,130.48,-193.16
2015-02-14,129.5,-194.09
2015-02-15,128.39,-194.49
2015-02-16,128.72,-195.13
2015-02-17,130.4,-194.03
2015-02-18,126.75,-194.3
2015-02-19,126.22,-193.33
2015-02-20,126.53,-194.42
2015-02-21,125.8,-194.92
2015-02-22,125.79,-195.84
2015-02-23,126.38,-193.22
2015-02-24,128.2,-194.27
2015-02-25,125.65,-195.08
2015-02-26,127.14,-195.23
2015-02-27,127.58,-195.73
2015-02-28,124.81,-196.86
2015-03-01,124.12,-197.12
2015-03-02,126,-195.7
2015-03-03,126.71,-195.92
2015-03-04,127.17,-195.45
2015-03-05,127.17,-194.72
2015-03-06,126.95,-195.93
2015-03-07,126.29,-195.03
2015-03-08,126.63,-195.61
2015-03-09,127.41,-195.66
2015-03-10,126.93,-195.69
2015-03-11,127.28,-194.95
2015-03-12,127.84,-195.94
2015-03-13,126.52,-197.51
2015-03-14,128.53,-196.92
2015-03-15,126.65,-195.1
2015-03-16,127.01,-195.48
2015-03-17,127.95,-195.61
2015-03-18,127.89,-194.56
2015-03-19,128.23,-196.57
2015-03-20,128.71,-195.36
2015-03-21,128.22,-196.13
2015-03-22,126.39,-196.62
2015-03-23,129.22,-193.61
2015-03-24,125.1,-196.71
2015-03-25,125.62,-197.36
2015-03-26,127.43,-196.22
2015-03-27,128.36,-195.81
2015-03-28,127.56,-196.01
2015-03-29,126.47,-195.32
2015-03-30,128.98,-196.85
2015-03-31,126.12,-193.45
2015-04-01,127.85,-195.59
2015-04-02,127.61,-196.88
2015-04-03,126.33,-195.94
2015-04-04,127.01,-197.04
2015-04-05,126.21,-195.96
2015-04-06,126.68,-196.93
2015-04-07,126.07,-197.35
2015-04-08,126.03,-197.47
2015-04-09,126.05,-198.03
2015-04-10,126.85,-196.57
2015-04-11,128.41,-196.08
2015-04-12,126.12,-196.61
2015-04-13,125.78,-196.27
2015-04-14,125.94,-195.56
2015-04-15,125.44,-196.22
2015-04-16,125.41,-198.16
