DATE,NORTH,EAST
2018-01-14,0,0
2018-01-15,-1.11,-0.55
2018-01-16,1.42,0.7
2018-01-17,-0.28,0.03
2018-01-18,-0.29,-1.01
2018-01-19,-1.66,-1.08
2018-01-20,-1.82,-2.61
2018-01-21,0.87,-2.03
2018-01-22,0.05,-1.73
2018-01-23,0.56,-1.59
2018-01-24,-1.19,-0.26
2018-01-25,-1.31,-0.61
2018-01-26,-1.85,-1.18
2018-01-27,-2.12,0.53
2018-01-28,-0.58,-1.81
2018-01-29,-0.98,-2.33
2018-01-30,-1.85,0.59
2018-01-31,-0.71,3.88
2018-02-01,0.81,-1.55
2018-02-02,-2.72,1.27
2018-02-03,-3.35,-2.29
2018-02-04,-0.23,-2.03
2018-02-05,-2.22,-0.65
2018-02-06,0.23,-1.45
2018-02-07,-3.16,-1.6
2018-02-08,-3.04,-2.26
2018-02-09,-1.52,-1.03
2018-02-10,1.35,-0.45
2018-02-11,-0.39,-2.23
2018-02-12,-0.96,-1.76
2018-02-13,-1.84,-1.77
2018-02-14,-3.8,-2.43
2018-02-15,-4.42,-4.25
2018-02-16,-1.31,-0.96
2018-02-17,-1.31,-5.56
2018-02-18,0.09,-6.69
2018-02-19,0.51,-2.75
2018-02-20,0.18,-2.89
2018-02-21,0.7,-1.15
2018-02-22,-0.51,-0.4
2018-02-23,-1.36,-2.49
2018-02-24,-2.19,-1.39
2018-03-04,-2.57,-3.37
2018-03-05,-4.77,-3.7
2018-03-06,-2.24,-3.25
2018-03-07,-2.4,-3.34
2018-03-08,-3.14,-3.21
2018-03-09,-4.77,0.71
2018-03-10,-3.09,-1.87
2018-03-11,-3.23,-3.74
2018-03-12,-0.51,-5.22
2018-03-13,-2.36,-3.85
2018-03-14,-3.15,-4.63
2018-03-15,-4.18,-5.23
2018-03-16,-2.96,-3.47
2018-03-17,-3.63,-4.27
2018-03-18,-1.69,-4.01
2018-03-19,1.61,1.17
2018-03-20,-3.27,-2.15
2018-03-21,-2.32,-3.12
2018-03-22,-3.33,-0.51
2018-03-23,-4.13,-3.31
2018-03-24,-2.67,-6.6
2018-03-25,-2.43,-5.45
2018-03-26,-1.55,-4.83
2018-03-27,-0.79,-1.07
2018-03-28,-1.07,-4.28
2018-03-29,-0.99,-2.32
2018-03-30,-0.27,-8.7
2018-03-31,-3.32,-2.74
2018-04-15,-1.3,-4.42
2018-04-16,-0.72,-5.33
2018-04-17,-1.41,-4.33
2018-04-18,-3.81,-4.67
2018-04-19,-1.58,-4.61
2018-04-20,-3.27,-5.69
2018-04-21,4.56,-3.17
2018-05-13,0.01,-5.73
2018-05-14,0.23,-5.64
2018-05-15,-2.6,-7.76
2018-05-16,-3.27,-5.88
2018-05-17,-4.41,-6.82
2018-05-18,-3.42,-7.29
2018-05-19,0.34,-3.83
2018-05-20,0.71,-3.83
2018-05-21,-1.03,-4.59
2018-05-22,-4,-7.19
2018-05-23,-4.92,-6.43
2018-05-24,-3.9,-5.87
2018-05-25,-4.34,-7.29
2018-05-26,-4.61,-7.97
2018-05-27,-4.28,-6.64
2018-05-28,-4.19,-7.11
2018-05-29,-5.31,-8.55
2018-05-30,-4.49,-8.59
2018-05-31,-5.32,-8.04
2018-06-01,-4.07,-8.7
2018-06-02,-4.05,-8.89
2018-06-10,-4.71,-7.2
2018-06-11,-6.47,-8.93
2018-06-12,-5.56,-8.2
2018-06-13,-5.84,-9.06
2018-06-14,-6.53,-8.98
2018-06-15,-4.97,-8.97
2018-06-16,-5.7,-9.73
2018-06-17,-4.14,-7.58
2018-06-18,-0.88,-6.62
2018-06-19,-1.75,-9.53
2018-06-20,-5.86,-9.71
2018-06-21,-5.65,-9.37
2018-06-22,-5.53,-11.16
2018-06-23,-4.8,-8.37
2018-06-24,-5.45,-9.61
2018-06-25,-5.65,-9.76
2018-06-26,-7.52,-9.4
2018-06-27,-6.06,-9.53
2018-06-28,-5.21,-8.08
2018-06-29,-5.28,-10.77
2018-06-30,-5.59,-10.01
2018-07-01,-5.33,-8.89
2018-07-02,-4.22,-9.05
2018-07-03,-4.72,-9.72
2018-07-04,-5,-10.75
2018-07-05,-3.77,-11.07
2018-07-06,-5.75,-10.24
2018-07-07,-5.98,-9.16
2018-07-08,-6.06,-9.64
2018-07-09,-4.36,-9.8
2018-07-10,-6.93,-8.72
2018-07-11,-5.22,-8.93
2018-07-12,-4.94,-9.53
2018-07-13,-4.48,-9.62
2018-07-14,-4.51,-10.13
2018-07-15,-3.26,-10.1
2018-07-16,-3.24,-8.82
2018-07-17,-5.65,-9.54
2018-07-18,-5.04,-11.19
2018-07-19,-4.87,-11
2018-07-20,-5.82,-10.4
2018-07-21,-6.82,-10.69
2018-07-22,-4.81,-10.75
2018-07-23,-1.83,-9.06
2018-07-24,-4.72,-9.44
2018-07-25,-5.81,-9.92
2018-07-26,-4.96,-9.95
2018-07-27,-6.66,-9.47
2018-07-28,-5.04,-10.69
2018-07-29,-6.2,-10.76
2018-07-30,-5.96,-11.09
2018-07-31,-5.73,-11.44
2018-08-01,-5.28,-11.57
2018-08-02,-5.41,-12.06
2018-08-03,-6.6,-11.17
2018-08-04,-5.43,-13.35
2018-08-05,-5.54,-12.1
2018-08-06,-6.38,-10.67
2018-08-07,-6,-9.78
2018-08-08,-6.32,-10.08
2018-08-09,-6.49,-10.45
2018-08-10,-6.76,-11.42
2018-08-11,-5.54,-11.24
2018-08-12,-6.19,-11
2018-08-13,-5.51,-10.36
2018-08-14,-6.38,-11.08
2018-08-15,-6.09,-12.17
2018-08-16,-6.95,-12.35
2018-08-17,-6.39,-11.15
2018-08-18,-5.86,-10.7
2018-08-19,-6.82,-10.54
2018-08-20,-6.77,-10.41
2018-08-21,-5.91,-11.02
2018-08-22,-6.37,-11.48
2018-08-23,-4.22,-14.14
2018-08-24,-4.36,-13.52
2018-08-25,-5.37,-12.21
2018-08-26,-6.54,-12.4
2018-08-27,-5.46,-6.11
2018-08-28,-5.32,-13.02
2018-08-29,-4.98,-9.43
2018-08-30,-6.68,-8.52
2018-08-31,-6.47,-13.61
2018-09-01,-5.84,-13.47
2018-09-02,-6.83,-13.1
2018-09-03,-6.43,-11.5
2018-09-04,-5.17,-12.12
2018-09-05,-2.85,-12.48
2018-09-06,-6.39,-11.39
2018-09-07,-5.5,-11.34
2018-09-08,-5.68,-13.06
2018-09-09,-5.15,-10.37
2018-09-10,-4.75,-12.35
2018-09-11,-6.32,-13.34
2018-09-12,-5.78,-13.48
2018-09-13,-7.06,-13.01
2018-09-14,-5.21,-12.53
2018-09-15,-6.37,-12.24
