DATE,NORTH,EAST
2015-01-01,-114.97,302.26
2015-01-02,-115.14,300.21
2015-01-03,-118.48,297.55
2015-01-04,-118.97,301.73
2015-01-06,-114.06,303.77
2015-01-07,-117.08,301.28
2015-01-08,-115.61,302.22
2015-01-09,-117.5,301.21
2015-01-10,-115.78,299.95
2015-01-11,-121.12,297.92
2015-01-12,-118.78,301.93
2015-01-13,-119.35,300.98
2015-01-14,-118.44,302
2015-01-15,-119.85,301.29
2015-01-16,-118.88,295.63
2015-01-17,-119.7,301.6
2015-01-18,-116.41,301.76
2015-01-19,-113.97,300.16
2015-01-20,-113.79,302.13
2015-01-21,-119.49,299.27
2015-01-22,-123.78,298.39
2015-01-23,-119.51,297.62
2015-01-24,-119.13,300.7
2015-01-25,-123.18,299.58
2015-01-26,-117.9,302.24
2015-01-27,-121.46,298.21
2015-01-28,-121.3,300.41
2015-01-29,-123.04,297.54
2015-01-30,-115.12,303.78
2015-01-31,-122.9,300.2
2015-02-01,-123.89,298.74
2015-02-02,-119.54,300.5
2015-02-03,-122.88,299.23
2015-02-04,-121.24,302.63
2015-02-05,-122.25,302.82
2015-02-06,-115.11,302.66
2015-02-07,-121.26,299.84
2015-02-08,-124.41,297.19
2015-02-09,-124.33,300.01
2015-02-10,-123.17,300.73
2015-02-11,-123.73,299.89
2015-02-12,-121.53,301.47
2015-02-13,-122.03,303.13
2015-02-14,-120.09,301.95
2015-02-15,-120.65,306.17
2015-02-16,-121.74,303.65
2015-02-17,-119.8,305.93
2015-02-18,-122.48,299.2
2015-02-19,-124.27,300.39
2015-02-20,-121.44,303.95
2015-02-21,-121.85,301.56
2015-02-22,-123.38,299.17
2015-02-23,-123.12,302.18
2015-02-24,-118.89,303.05
2015-02-25,-120.13,301.65
2015-02-26,-118.51,309.59
2015-02-27,-125.16,303.56
2015-02-28,-123.33,300.46
2015-03-01,-118.37,304.37
2015-03-02,-118.58,299.52
2015-03-03,-118.48,301.42
2015-03-04,-122.03,301.33
2015-03-05,-123.19,300.74
2015-03-06,-123.99,300.91
2015-03-07,-119.87,304.15
2015-03-08,-118.28,304.42
2015-03-09,-122.56,300.26
2015-03-10,-118.22,302.02
2015-03-11,-115.82,303.7
2015-03-12,-119.71,304.58
2015-03-13,-117.6,302.08
2015-03-14,-112.97,305.34
2015-03-15,-115.85,306.01
2015-03-16,-118.76,304.4
2015-03-17,-118.5,302.34
2015-03-18,-121.72,304.56
2015-03-19,-118.39,304.26
2015-03-20,-116.61,305.91
2015-03-21,-119.16,302.73
2015-03-22,-121.25,302.31
2015-03-23,-118.98,302.41
2015-03-24,-118.76,300.82
2015-03-25,-120.78,303.36
2015-03-26,-117.71,303.81
2015-03-27,-118.84,305.27
2015-03-28,-119.61,305.9
2015-03-29,-117.46,311.8
2015-03-30,-116.79,304.96
2015-03-31,-118.62,301.75
2015-04-01,-119.05,302.1
2015-04-02,-119.24,302.56
2015-04-03,-119.31,304.07
2015-04-04,-119.4,305.37
2015-04-05,-120.42,305.75
2015-04-06,-120.16,303.47
2015-04-07,-119.92,305.37
2015-04-08,-123.46,304.68
2015-04-09,-120.85,304.12
2015-04-10,-121.73,302.75
2015-04-11,-123.29,303.5
2015-04-12,-121.88,303.78
2015-04-13,-117.29,303.56
2015-04-14,-120.98,307.06
2015-04-15,-120.99,301.9
