DATE,NORTH,EAST
2015-01-01,-18.31,1.18
2015-01-02,-18.61,1.5
2015-01-03,-18.08,1.17
2015-01-04,-19.16,0.92
2015-01-05,-19.2,2.11
2015-01-06,-18.97,1.37
2015-01-07,-19.44,1.03
2015-01-08,-19.18,0.7
2015-01-09,-18.58,1.1
2015-01-10,-18.99,1.49
2015-01-11,-18.53,2
2015-01-12,-19.46,0.01
2015-01-13,-18.86,-1.14
2015-01-14,-20.27,-1.17
2015-01-15,-16.72,1.12
2015-01-16,-15.06,0.05
2015-01-19,-16.38,0.68
2015-01-20,-15.46,0.15
2015-01-21,-15.31,1.48
2015-01-22,-15.94,1.09
2015-01-23,-13.5,-0.72
2015-01-24,-11.89,-1.83
2015-01-25,-11.2,-2.01
2015-01-26,-11.24,-1.8
2015-01-27,-11.16,-1.55
2015-01-28,-11.32,-1.17
2015-01-29,-9.93,0.94
2015-01-30,-10.31,0.68
2015-01-31,-9.37,0.4
2015-02-01,-10.84,1.02
2015-02-02,-10.71,1.48
2015-02-03,-11.37,2.02
2015-02-04,-10.33,0.83
2015-02-05,-10.88,1.64
2015-02-06,-11.6,0.65
2015-02-07,-10.44,3.18
2015-02-11,-5.76,1.03
2015-02-12,-6.6,1.54
2015-02-13,-7.43,1.53
2015-02-14,-3.17,1.27
2015-02-15,-2.36,0.81
2015-02-16,-0.05,1.09
2015-02-17,-0.88,1.9
2015-02-18,-0.85,2.46
2015-02-19,-0.53,2.48
2015-02-20,-0.47,2.02
2015-02-21,-1.86,2.24
2015-02-22,-2.89,2.17
2015-02-23,-5.59,1.28
2015-02-24,-6.86,-8.33
2015-02-25,-7.29,-7.62
2015-02-26,-9,-6.38
2015-02-27,-11.13,-1.06
2015-02-28,-15.45,6.38
2015-03-01,-14.98,6.35
2015-03-02,-14.13,6.96
2015-03-03,-14.2,6.97
2015-03-04,-14.31,7.08
2015-03-05,-15.78,7.96
2015-03-06,-15.68,8.12
2015-03-07,-14.57,6.51
2015-03-08,-14.26,7.2
2015-03-09,-14.38,8.04
2015-03-10,-16.06,6.22
2015-03-11,-14.66,7.51
2015-03-12,-13.55,8.62
2015-03-13,-13.87,8.77
2015-03-14,-14.83,8.04
2015-03-15,-15.93,7.99
2015-03-19,-14.19,10.74
2015-03-20,-15.71,9.71
2015-03-21,-14.73,10.01
2015-03-22,-15.15,10.01
2015-03-23,-15.21,9.12
2015-03-24,-15.51,10.32
2015-03-25,-15.45,9.63
2015-03-26,-14.94,7.36
2015-03-27,-15.73,8.27
2015-03-28,-16.08,8.89
2015-03-29,-13.15,8.42
2015-03-30,-13.93,7.72
2015-03-31,-12.67,8.79
2015-04-01,-14.87,8.48
2015-04-02,-15.09,9.01
2015-04-03,-14.59,6.69
2015-04-04,-14.4,8.41
2015-04-05,-15.34,8.72
2015-04-06,-14.49,8.01
2015-04-07,-14.28,7.8
