DATE,NORTH,EAST
2015-01-01,-23.95,23.73
2015-01-02,-25.01,24.24
2015-01-03,-22.54,24.74
2015-01-04,-22.9,25.04
2015-01-05,-22.91,23.39
2015-01-06,-22.27,24.32
2015-01-07,-23.45,24.19
2015-01-08,-26.01,22.62
2015-01-09,-25.04,24.94
2015-01-10,-23.53,24.76
2015-01-11,-24.17,24.77
2015-01-12,-23.4,24.76
2015-01-13,-23.71,24.59
2015-01-14,-23.9,25.96
2015-01-15,-23.87,24.84
2015-01-16,-23.63,25.71
2015-01-17,-24.03,23.4
2015-01-18,-25.27,25.92
2015-01-19,-24.62,24.34
2015-01-20,-24.11,23.99
2015-01-21,-24.22,25.45
2015-01-22,-24.62,25.37
2015-01-23,-26.08,24.86
2015-01-24,-25.36,22.97
2015-01-25,-25.38,25.66
2015-01-26,-24.47,21.45
2015-01-27,-25.76,25.3
2015-01-28,-24.74,24
2015-01-29,-24.97,23.67
2015-01-30,-25.78,22.93
2015-01-31,-24.42,25.07
2015-02-01,-24.87,25.39
2015-02-02,-24.37,24.85
2015-02-03,-24.43,25.14
2015-02-04,-24.53,24.85
2015-02-05,-25.05,24.89
2015-02-06,-24.07,23.34
2015-02-07,-25.19,24.46
2015-02-08,-22.69,24.76
2015-02-09,-25.09,25.73
2015-02-10,-25.07,24.79
2015-02-11,-23.73,25.33
2015-02-12,-25.07,25.04
2015-02-13,-22.56,24.03
2015-02-14,-22.89,24.66
2015-02-15,-23.68,23.59
2015-02-16,-24.74,24.71
2015-02-17,-23.93,26.18
2015-02-18,-23.38,25.07
2015-02-19,-21.71,24.91
2015-02-20,-22.66,23.91
2015-02-21,-22.62,25.95
2015-02-22,-24.08,25.42
2015-02-23,-26.28,24.92
2015-02-24,-23.16,23.63
2015-02-25,-21.74,24.97
2015-02-26,-21.82,26.75
2015-02-27,-23.59,25.34
2015-02-28,-22.7,25.91
2015-03-01,-20.95,23.91
2015-03-02,-24.27,25.09
2015-03-03,-23.44,23.99
2015-03-04,-23.9,24.05
2015-03-05,-24.45,25.15
2015-03-06,-25,23.56
2015-03-07,-24.42,24.86
2015-03-08,-25.25,24.31
2015-03-09,-25.79,23.13
2015-03-10,-24.19,23.67
2015-03-11,-22.94,23.68
2015-03-12,-23.81,24.92
2015-03-13,-26.94,23.37
2015-03-14,-26.33,22.96
2015-03-15,-24.83,25.04
2015-03-16,-24.53,23.99
2015-03-17,-24.04,81.08
2015-03-18,-25.08,23.6
2015-03-19,-27.43,23.47
2015-03-20,-26.56,23.54
2015-03-21,-25.22,24.21
2015-03-22,-26.45,23.67
2015-03-23,-25.9,23.72
2015-03-24,-26.71,26.53
2015-03-25,-26.01,23.96
2015-03-26,-28.64,23.62
2015-03-27,-27.22,23.87
2015-03-28,-26.56,23.97
2015-03-29,-26.52,22.83
2015-03-30,-24.89,22.12
2015-03-31,-24.49,23.03
2015-04-01,-26.22,22.74
2015-04-02,-28.1,22.8
2015-04-03,-25.52,23.49
2015-04-04,-24.89,24.02
2015-04-05,-24.36,23.09
2015-04-06,-25.87,24.73
2015-04-07,-27.59,23.24
2015-04-08,-26.02,23.32
2015-04-09,-26.26,24.68
2015-04-10,-28.58,24.41
2015-04-11,-27.19,63.95
2015-04-12,-28.2,22.48
2015-04-13,-27.1,23.04
2015-04-14,-25.92,22.93
2015-04-15,-20.37,25.14
2015-04-16,-27.93,22.9
2015-04-17,-27.04,23.19
2015-04-18,-23.13,23.77
2015-04-19,-26.67,24.11
2015-04-20,-25.87,22.87
2015-04-21,-26.29,23.46
2015-04-22,-25.54,23.46
2015-04-23,-24.57,24.56
2015-04-24,-25.65,24.1
2015-04-25,-24.43,23.7
2015-04-26,-26.11,23.9
2015-04-27,-27.09,23.82
2015-04-28,-26.54,25.31
2015-04-29,-24.49,24.12
2015-04-30,-26.84,23.77
2015-05-01,-25.63,22.15
2015-05-02,-26.43,24.29
2015-05-03,-24.62,22.96
