DATE,NORTH,EAST
2015-01-01,135.58,-160.16
2015-01-02,134.01,-159.47
2015-01-03,134.35,-159.27
2015-01-04,133.95,-159.42
2015-01-05,132.78,-158.78
2015-01-06,133.77,-159.28
2015-01-07,133.18,-159.19
2015-01-08,134.61,-159.47
2015-01-09,134.3,-160.23
2015-01-10,134,-159.8
2015-01-11,133.69,-160.22
2015-01-12,133.47,-159.96
2015-01-13,133.88,-159.53
2015-01-14,134.86,-160.03
2015-01-15,133.96,-160.33
2015-01-16,132.48,-160.72
2015-01-17,133.81,-158.78
2015-01-18,132.62,-163
2015-01-19,133.85,-160.27
2015-01-20,133.65,-159.8
2015-01-21,132.59,-159.53
2015-01-22,132.9,-160
2015-01-23,133.55,-160.85
2015-01-24,132.38,-161.83
2015-01-25,132.56,-160.06
2015-01-26,134.18,-159.88
2015-01-27,132.73,-160.32
2015-01-28,132.34,-159.99
2015-01-29,132.84,-160.15
2015-01-30,134.27,-161.34
2015-01-31,132.56,-161
2015-02-01,132.55,-160.56
2015-02-02,132.52,-160.63
2015-02-03,133.68,-160.74
2015-02-04,133.76,-159.81
2015-02-05,133.15,-159.16
2015-02-06,125.66,-162.65
2015-02-08,131.72,-162.37
2015-02-09,129.58,-160.1
2015-02-10,133.39,-160.34
2015-02-11,132.78,-160.49
2015-02-12,132.51,-160.2
2015-02-13,134.08,-160.95
2015-02-14,133.88,-160.03
2015-02-15,134.26,-159.86
2015-02-16,132.92,-159.86
2015-02-17,133.71,-160.34
2015-02-18,133.17,-160.73
2015-02-19,133.74,-161.12
2015-02-20,134.66,-160.26
2015-02-21,134.12,-160.32
2015-02-22,133.08,-158.53
2015-02-23,135.42,-159.68
2015-02-24,135.42,-161.59
2015-02-25,135.06,-161.29
2015-02-26,131.65,-159.72
2015-02-27,134.41,-161.06
2015-02-28,133.46,-161.72
2015-03-01,134.32,-160.77
2015-03-02,134.97,-162.05
2015-03-03,133.95,-161.15
2015-03-04,134.44,-161.41
2015-03-05,134.86,-160.6
2015-03-06,134.28,-161.06
2015-03-07,134.92,-161.45
2015-03-08,134.5,-161.3
2015-03-09,133.41,-161.42
2015-03-10,133.85,-160.99
2015-03-11,134.57,-162.8
2015-03-12,134.26,-162.05
2015-03-13,134.95,-161.33
2015-03-14,136.28,-161.83
2015-03-15,134.13,-161.84
2015-03-16,134.59,-161.17
2015-03-17,133.84,-162.18
2015-03-18,135.53,-161.22
2015-03-19,134.57,-162.25
2015-03-20,135.1,-161.43
2015-03-21,133.78,-162.91
2015-03-22,134.68,-164.05
2015-03-23,137.02,-163.2
2015-03-24,133.66,-162.53
2015-03-25,134.25,-161.5
2015-03-26,134.21,-161.81
2015-03-27,134.37,-161.18
2015-03-28,134.47,-161.24
2015-03-29,135.93,-161.3
2015-03-30,136.19,-159.81
2015-03-31,133.25,-162.65
2015-04-01,134.6,-161.9
2015-04-02,135.01,-162.69
2015-04-03,134.5,-161.89
2015-04-04,135.5,-161.93
2015-04-05,133.5,-162.8
2015-04-06,135.72,-163.73
2015-04-07,135.14,-164.04
2015-04-08,133.95,-162.66
2015-04-09,134.92,-162.61
2015-04-10,134.52,-162.3
2015-04-11,133.6,-162.31
2015-04-12,135.37,-161.22
2015-04-13,136.18,-162.61
2015-04-14,135.42,-161.79
2015-04-15,134.75,-162.65
2015-04-16,133.66,-162.52
2015-04-17,135.1,-160.95
2015-04-18,134.52,-163.65
2015-04-19,134.89,-162.02
2015-04-20,134.47,-161.32
2015-04-21,133.5,-162.65
2015-04-22,133.71,-161.9
2015-04-23,133.64,-162.9
2015-04-24,137.4,-165.95
2015-04-27,135.57,-161.79
2015-04-28,135.95,-163.67
2015-04-29,135.34,-162.62
2015-04-30,136.23,-162.68
2015-05-01,136.57,-163.92
2015-05-02,135.86,-162.99
2015-05-03,136.86,-162.98
2015-05-04,136.79,-163.22
2015-05-05,135.75,-163.45
2015-05-06,136.37,-163.66
2015-05-07,134.96,-162.49
2015-05-08,136.32,-161.21
2015-05-09,135.54,-162.84
2015-05-10,137.22,-163.72
2015-05-11,135.41,-165.71
2015-05-12,135.25,-164.43
2015-05-13,136.6,-164.09
2015-05-14,137.46,-163.4
2015-05-15,136.8,-163.58
2015-05-16,137.24,-162.26
2015-05-17,136.99,-161.47
2015-05-18,136.09,-163.64
2015-05-19,136.39,-163.54
2015-05-20,137.25,-162.76
2015-05-21,136.93,-162.72
2015-05-22,135.66,-163.7
2015-05-23,137.54,-163.64
2015-05-24,136.74,-163.19
2015-05-25,137.07,-163.06
2015-05-26,136.54,-162.83
2015-05-27,136.28,-162.94
2015-05-28,135.84,-161.4
2015-05-29,136.51,-163.1
2015-05-30,137.04,-163.21
2015-05-31,136.33,-162.63
2015-06-01,134.2,-167.18
2015-06-02,136.91,-165.38
2015-06-03,137.71,-163.21
2015-06-04,134.02,-165.14
2015-06-05,133.95,-165.44
2015-06-06,136.58,-165
2015-06-07,136.46,-164.6
2015-06-08,138.38,-163.29
2015-06-09,137.21,-163.13
2015-06-10,136.04,-163.19
2015-06-11,134.87,-162.66
2015-06-12,136.14,-163.03
2015-06-13,134.79,-162.59
2015-06-14,137.4,-163.95
2015-06-15,137.94,-163.28
2015-06-16,137.71,-163.44
2015-06-17,136.3,-162.64
2015-06-18,138.2,-163.09
2015-06-19,138.5,-163.41
2015-06-20,137.24,-163.94
2015-06-21,138.8,-162.4
2015-06-22,137.11,-163.11
2015-06-23,136.62,-163.3
2015-06-24,136.11,-162.29
2015-06-25,134.62,-164.13
2015-06-26,136.37,-163.12
2015-06-27,138.05,-162.76
2015-06-28,138.75,-163.01
2015-06-29,139.38,-161.78
2015-06-30,136.19,-163.24
2015-07-01,138.67,-164.58
2015-07-02,137.54,-162.95
2015-07-03,137.19,-163.08
2015-07-04,134.1,-164.94
2015-07-05,137.28,-161.93
2015-07-06,137.37,-163.65
2015-07-07,136.13,-163.62
2015-07-08,135.74,-163.74
2015-07-09,136.3,-163.53
2015-07-10,136.59,-163.55
2015-07-11,138.12,-163.48
2015-07-12,136.82,-163.91
2015-07-13,137.13,-163.41
2015-07-14,138.08,-164.17
2015-07-15,138.61,-162.34
2015-07-16,137.15,-162.79
2015-07-17,136.47,-163.64
2015-07-18,138.57,-163.4
2015-07-19,137.24,-161.52
2015-07-20,138.4,-163.33
2015-07-21,136.01,-163.46
2015-07-22,138.35,-163.32
2015-07-23,135.99,-163.91
2015-07-24,137.31,-162.58
2015-07-25,137.22,-163.66
2015-07-26,136.71,-162.58
2015-07-27,140.04,-164.95
2015-07-28,136.33,-163.19
2015-07-29,138.39,-161.93
2015-07-30,138.96,-161.58
2015-07-31,137.71,-161.11
2015-08-01,134.8,-162
2015-08-02,138.83,-162.65
2015-08-03,137.8,-163.35
2015-08-04,136.12,-163.53
2015-08-05,135.72,-162.18
2015-08-06,135.66,-163.78
2015-08-07,137.2,-161.93
2015-08-08,137.2,-163.39
2015-08-09,137.25,-161.88
2015-08-10,137.19,-162.44
2015-08-11,140.23,-163.51
2015-08-12,139.09,-163.25
2015-08-13,137.01,-162.88
2015-08-14,138.65,-165.85
2015-08-15,139.8,-163.32
2015-08-16,140.14,-163.37
2015-08-17,138.79,-162.73
2015-08-18,137.15,-163.74
2015-08-19,139.15,-162.7
2015-08-20,137.45,-162.18
2015-08-21,138.79,-162.32
2015-08-22,138.98,-162.96
2015-08-23,138.66,-162.58
2015-08-24,139.06,-163.99
2015-08-25,139.33,-161.65
2015-08-26,139.29,-161.73
2015-08-27,140.34,-163.01
2015-08-28,137.46,-162.78
2015-08-29,133.52,-165.34
2015-08-30,137.63,-163.64
2015-08-31,139.25,-162.57
2015-09-01,138.8,-161.9
2015-09-02,139.89,-164.69
2015-09-03,137.08,-168.02
2015-09-04,139.78,-162.77
2015-09-05,139.46,-163.36
2015-09-06,138.72,-162.01
2015-09-07,139.18,-162.41
2015-09-08,139.51,-162.18
2015-09-09,139.45,-162.33
2015-09-10,138.3,-161.3
2015-09-11,139.52,-161.98
2015-09-12,138.95,-161.56
2015-09-13,139.09,-162.3
2015-09-14,139.34,-164.28
2015-09-15,138.7,-165.29
2015-09-16,140.76,-163.4
2015-09-17,141.23,-162.86
2015-09-18,139.53,-161.34
2015-09-19,139.64,-161.25
2015-09-20,139.51,-161.75
2015-09-21,138.15,-161.91
2015-09-22,140.02,-161.78
2015-09-23,139.96,-161.95
2015-09-24,140.56,-161.57
2015-09-25,140.12,-163.53
2015-09-26,139.42,-164.6
2015-09-27,139.48,-162.8
2015-09-28,139.47,-162.32
2015-09-29,140.4,-159.47
2015-09-30,142.12,-163.6
2015-10-01,140.79,-161.59
2015-10-02,138.68,-162.15
2015-10-03,138.96,-161.29
2015-10-04,135.09,-167.25
2015-10-05,138.01,-162.53
2015-10-06,138.8,-161.84
2015-10-07,139.4,-162.17
2015-10-08,140.74,-162.04
2015-10-09,140.09,-161.73
2015-10-10,139.25,-163.69
2015-10-11,139.26,-162.23
2015-10-12,139.67,-160.65
2015-10-13,140.13,-161.6
2015-10-14,138.86,-161.67
2015-10-15,139.71,-161.83
2015-10-16,138.82,-160.41
2015-10-17,140.3,-160.63
2015-10-18,139.4,-161.65
2015-10-19,140.22,-162.26
2015-10-20,131.56,-168.98
2015-10-21,138.99,-164.9
2015-10-22,139.61,-161.8
2015-10-23,139.49,-162.56
2015-10-24,139.69,-162.91
2015-10-25,141.36,-162.68
2015-10-26,140.55,-162.65
2015-10-27,139.84,-161.61
2015-10-28,139.68,-162.65
2015-10-29,141.06,-162.38
2015-10-30,138.72,-163.04
2015-10-31,141.43,-162.01
2015-11-01,146.07,-160.85
2015-11-02,140.06,-162.9
2015-11-03,139.54,-163.65
2015-11-04,142.87,-160.96
2015-11-05,141.45,-163.14
2015-11-06,140.98,-163.22
2015-11-07,139.94,-162.35
2015-11-08,140.6,-163.97
2015-11-09,141.57,-164.47
2015-11-10,139.89,-163.33
2015-11-11,140.49,-162.88
2015-11-12,140.15,-162.3
2015-11-13,141.06,-162.74
2015-11-14,140.92,-163.39
2015-11-15,135.61,-167.03
2015-11-16,140.7,-164.83
2015-11-17,140.01,-163.8
2015-11-18,140.72,-162.26
2015-11-19,140.54,-164.07
2015-11-20,141.09,-163.08
2015-11-21,140.51,-162.78
2015-11-22,141.86,-162.95
2015-11-23,141.26,-164.36
2015-11-24,141.3,-163.06
2015-11-25,140.24,-164.65
2015-11-26,140.19,-165.6
2015-11-27,141.8,-164.02
2015-11-28,142.09,-163.82
2015-11-29,141.34,-163.73
2015-11-30,142.21,-164.43
2015-12-01,141.52,-163.4
2015-12-02,140.18,-164.47
2015-12-03,137.7,-164.52
2015-12-04,141.55,-164.03
2015-12-05,141.12,-163.27
2015-12-06,139.55,-166.09
2015-12-07,141,-164.23
2015-12-08,140.18,-163.41
2015-12-09,143.18,-163.64
2015-12-10,139.28,-163.25
2015-12-11,140.79,-164.7
2015-12-12,140.05,-164.63
2015-12-13,139.66,-165.81
2015-12-14,139.16,-165.67
2015-12-15,141.64,-167.4
2015-12-16,139.58,-164.37
2015-12-17,141.76,-165.77
2015-12-18,139.25,-166.5
2015-12-19,141.61,-167.04
2015-12-20,141.64,-165.94
