DATE,NORTH,EAST
2015-01-01,-71.27,-279.11
2015-01-02,-74.44,-278.72
2015-01-03,-75.88,-275.46
2015-01-04,-77.34,-277.11
2015-01-05,-75.88,-276.72
2015-01-06,-74.36,-278.02
2015-01-07,-78.24,-276.4
2015-01-08,-71.31,-275.69
2015-01-09,-78.81,-277.18
2015-01-10,-76.39,-276.93
2015-01-11,-76.37,-275.12
2015-01-12,-73.74,-272.53
2015-01-13,-74.62,-276.3
2015-01-14,-75.13,-275.89
2015-01-15,-76.94,-274.53
2015-01-16,-75.76,-274.37
2015-01-17,-76.23,-274.76
2015-01-18,-77.78,-275.59
2015-01-19,-76,-276.83
2015-01-20,-74.84,-277.63
2015-01-21,-76.16,-275.87
2015-01-22,-76.86,-274.83
2015-01-23,-74.17,-276.46
2015-01-24,-75.32,-276.48
2015-01-25,-73.54,-280.49
2015-01-26,-75.36,-278.3
2015-01-27,-74.92,-277.88
2015-01-28,-75.12,-278.46
2015-01-29,-75.16,-278.01
2015-01-30,-72.38,-278.62
2015-01-31,-74.97,-278.47
2015-02-01,-72.72,-278.28
2015-02-02,-75.39,-276.33
2015-02-03,-73.74,-278.88
2015-02-04,-76.26,-279.64
2015-02-05,-76.92,-279.55
2015-02-06,-76.68,-277.72
2015-02-07,-76.91,-277.96
2015-02-08,-75.93,-278.04
2015-02-09,-78.63,-277.2
2015-02-10,-77.44,-276.84
2015-02-11,-75.57,-275.44
2015-02-12,-75.25,-273.23
2015-02-13,-75.91,-274.78
2015-02-14,-74.27,-277.58
2015-02-15,-75.57,-279.88
2015-02-16,-75.71,-279.39
2015-02-17,-73.94,-277.65
2015-02-18,-76.64,-278.18
2015-02-19,-77.04,-276.2
2015-02-20,-75.28,-276.52
2015-02-21,-77.96,-276.05
2015-02-22,-76.29,-275.08
2015-02-23,-76.56,-277.93
2015-02-24,-70.44,-279.4
2015-02-25,-73.04,-280.07
2015-02-26,-77.11,-278.14
2015-02-27,-74.3,-278.95
2015-02-28,-73.96,-278.99
2015-03-01,-75.06,-281.29
2015-03-02,-75.33,-280.38
2015-03-03,-75.47,-279.01
2015-03-04,-75.64,-277.27
2015-03-05,-74.93,-279.63
2015-03-06,-75.1,-277.73
2015-03-07,-74.63,-279.4
2015-03-08,-76.03,-280.18
2015-03-09,-74.85,-277.91
2015-03-10,-74.53,-279.33
2015-03-11,-73.55,-279.56
2015-03-12,-74.7,-279.97
2015-03-13,-75.11,-279.72
2015-03-14,-75.57,-280.57
2015-03-15,-75.99,-281.1
2015-03-16,-75.08,-278.71
2015-03-17,-72.75,-276.02
2015-03-18,-74.72,-276.53
2015-03-19,-75.92,-275.75
2015-03-20,-76.05,-275.09
2015-03-21,-75.83,-275.89
2015-03-22,-76.04,-275.56
2015-03-23,-77.91,-273.76
2015-03-24,-74.07,-273.2
2015-03-25,-77.44,-271.43
2015-03-26,-72.92,-274.06
2015-03-27,-74.27,-273.16
2015-03-28,-73.39,-273.76
2015-03-29,-75.7,-275.58
2015-03-30,-75.45,-274.12
2015-03-31,-76.05,-273.32
2015-04-01,-76.64,-271.79
2015-04-02,-78.13,-272.45
2015-04-03,-76.87,-272.28
2015-04-04,-74.43,-272.92
2015-04-05,-76.83,-272.61
2015-04-06,-76.73,-269.45
2015-04-07,-74.86,-270.81
2015-04-08,-74.12,-268.99
2015-04-09,-73.72,-269.16
2015-04-10,-73.9,-265.26
2015-04-11,-74.29,-267.91
2015-04-12,-73.25,-267.86
2015-04-13,-74.37,-268.15
2015-04-14,-72.21,-268.55
2015-04-15,-74.57,-267.94
2015-04-16,-71.98,-267.42
