DATE,NORTH,EAST
2015-01-01,347.62,-721.87
2015-01-02,348.07,-721.87
2015-01-03,347.69,-722.04
2015-01-04,348.31,-722.4
2015-01-05,348.08,-722.18
2015-01-06,348.15,-722.13
2015-01-07,348.67,-722.89
2015-01-08,348.76,-722.22
2015-01-09,349.06,-723.01
2015-01-10,348.74,-722.6
2015-01-11,349.45,-721.98
2015-01-12,348.22,-722.73
2015-01-13,348.19,-723.47
2015-01-14,350.34,-723.86
2015-01-15,349.33,-723.35
2015-01-16,349.42,-723.33
2015-01-17,349.84,-723.21
2015-01-18,349.14,-723.51
2015-01-19,349.18,-723.83
2015-01-20,348.75,-722.94
2015-01-21,347.97,-722.43
2015-01-22,349.4,-723.89
2015-01-23,348.89,-724.45
2015-01-24,348.82,-723.19
2015-01-25,349.17,-723.97
2015-01-26,348.68,-724.1
2015-01-27,348.14,-724.26
2015-01-28,349.76,-725.09
2015-01-29,348.02,-725.48
2015-01-30,348.69,-724.79
2015-01-31,348.34,-726.06
2015-02-01,347.73,-726.11
2015-02-02,349.4,-725.68
2015-02-03,348.81,-726.18
2015-02-04,349.06,-725.47
2015-02-05,349.79,-724.94
2015-02-06,349.15,-726.87
2015-02-07,350.88,-725.77
2015-02-08,348.85,-726.17
2015-02-09,350.64,-726.58
2015-02-10,349.71,-725.77
2015-02-11,348.45,-726.12
2015-02-12,349.67,-725.36
2015-02-13,350.42,-726.13
2015-02-14,350.51,-726.31
2015-02-15,349.78,-726.16
2015-02-16,349.84,-726.18
2015-02-17,349.71,-726.72
2015-02-18,350.14,-726.75
2015-02-19,350.12,-726.84
2015-02-20,350.62,-726.6
2015-02-21,350.21,-727.73
2015-02-22,350.12,-727.28
2015-02-23,349.78,-728.02
2015-02-24,348.81,-727.45
2015-02-25,351.54,-727.4
2015-02-26,350.65,-727.59
2015-02-27,349.45,-727.36
2015-02-28,349.28,-728.7
2015-03-01,350.44,-728.69
2015-03-02,352.31,-728.54
2015-03-03,350.78,-728.63
2015-03-04,351.62,-729.02
2015-03-05,351.16,-728.71
2015-03-06,350.63,-727.59
2015-03-07,351.83,-728.93
2015-03-08,350.87,-728.66
2015-03-09,351.12,-728.81
2015-03-10,350.92,-729.08
2015-03-11,350.93,-728.57
2015-03-12,351.6,-729.37
2015-03-13,351.23,-728.18
2015-03-14,350.78,-729.31
2015-03-15,351.73,-728.94
2015-03-16,350.66,-729.63
2015-03-17,350.2,-729.67
2015-03-18,349.9,-730.16
2015-03-19,350.77,-729.1
2015-03-20,350.14,-730.11
2015-03-21,351.43,-729.74
2015-03-22,351.53,-730.85
2015-03-23,350.84,-729.83
2015-03-24,351.49,-730.54
2015-03-25,349.11,-729.91
2015-03-26,350.73,-729.83
2015-03-27,350.37,-729.77
2015-03-28,351.05,-730.04
2015-03-29,351.08,-730.04
2015-03-30,351.27,-730.61
2015-03-31,350.76,-729.67
2015-04-01,351.21,-729.92
2015-04-02,350.67,-731.48
2015-04-03,350.28,-730.82
2015-04-04,350.12,-730.96
2015-04-05,350.39,-732.66
2015-04-06,350.36,-730.73
2015-04-07,350.49,-731.35
2015-04-08,350.25,-730.48
2015-04-09,351.33,-731.73
2015-04-10,350.56,-731.19
2015-04-11,351.23,-732.06
2015-04-12,350.94,-732.19
2015-04-13,350.51,-730.94
2015-04-14,351.88,-731.57
2015-04-15,352.49,-732.28
2015-04-16,351.17,-731.13
2015-04-17,351.1,-731.4
2015-04-18,351.06,-731.91
2015-04-19,351.53,-732.55
2015-04-20,351.53,-732.43
