DATE,NORTH,EAST
2015-01-01,-92.47,-199.04
2015-01-02,-93.18,-198.97
2015-01-03,-93.26,-197.82
2015-01-04,-93.48,-199.82
2015-01-05,-93.36,-200.63
2015-01-06,-92.91,-201.04
2015-01-07,-92.98,-200.35
2015-01-08,-92.61,-200.73
2015-01-09,-93.02,-201.86
2015-01-10,-95.63,-199.04
2015-01-11,-93.84,-199.4
2015-01-12,-93.32,-200.77
2015-01-13,-93.65,-199.83
2015-01-14,-94.91,-200.33
2015-01-15,-93.89,-199.55
2015-01-16,-92.26,-198.41
2015-01-17,-94.4,-200.12
2015-01-18,-92.95,-197.55
2015-01-19,-93.84,-201
2015-01-20,-89.12,-200.18
2015-01-21,-95.3,-199
2015-01-22,-95.8,-200.31
2015-01-23,-93.86,-200.58
2015-01-24,-91.75,-199.15
2015-01-25,-95.27,-204.1
2015-01-26,-94.66,-200.82
2015-01-27,-93.08,-201.26
2015-01-28,-92.3,-201.81
2015-01-29,-90.15,-198.65
2015-01-30,-91.69,-201.46
2015-01-31,-92.73,-200.69
2015-02-01,-93.49,-199.97
2015-02-02,-90.51,-199.49
2015-02-03,-93.97,-200.84
2015-02-04,-93.08,-201.55
2015-02-05,-93.99,-202.29
2015-02-06,-91.06,-201.37
2015-02-07,-90.87,-202.35
2015-02-08,-92.84,-202.72
2015-02-09,-92.32,-203.21
2015-02-10,-90.4,-203.31
2015-02-11,-94.57,-202.35
2015-02-12,-93.88,-202.06
2015-02-13,-92.81,-201.19
2015-02-14,-91.8,-201.62
2015-02-15,-94.23,-202.19
2015-02-16,-94.44,-201.21
2015-02-17,-93.92,-202.4
2015-02-18,-93.36,-201.9
2015-02-19,-93.2,-201.28
2015-02-20,-93.11,-203.26
2015-02-21,-94.86,-203.32
2015-02-22,-95.17,-202.81
2015-02-23,-96.78,-202.95
2015-02-24,-92.32,-203.94
2015-02-25,-91.72,-203.97
2015-02-26,-96.5,-202.93
2015-02-27,-94.03,-201.97
2015-02-28,-94.53,-202.36
2015-03-01,-95.31,-205.44
2015-03-02,-94.05,-203.28
2015-03-03,-95.03,-202.95
2015-03-04,-94.55,-205.16
2015-03-05,-93.69,-203.32
2015-03-06,-95.92,-201.99
2015-03-07,-95.46,-201.52
2015-03-08,-95.56,-202.48
2015-03-09,-94.94,-203.12
2015-03-10,-92.98,-203.43
2015-03-11,-92.93,-203.33
2015-03-12,-92.51,-204.33
2015-03-13,-93.51,-202.46
2015-03-14,-94.8,-203.09
2015-03-15,-94.63,-204.3
2015-03-16,-93.51,-202.62
2015-03-17,-93.82,-204.33
