DATE,NORTH,EAST
2015-01-06,388.74,-716.78
2015-01-07,389.01,-716.54
2015-01-08,389.98,-716.99
2015-01-09,390.61,-716.27
2015-01-10,389.73,-716.95
2015-01-11,389.69,-716.45
2015-01-12,389.39,-716.75
2015-01-13,389.41,-716.27
2015-01-14,389.58,-717.11
2015-01-15,390.07,-717.49
2015-01-16,389.6,-717.7
2015-01-17,389.64,-717.13
2015-01-18,390.47,-716.31
2015-01-19,389.69,-717.65
2015-01-20,389.19,-717.69
2015-01-21,389.29,-718.04
2015-01-22,390.1,-718.47
2015-01-23,390.51,-717.54
2015-01-24,388.96,-720.1
2015-01-25,389.99,-717.74
2015-01-26,391.27,-717.24
2015-01-27,390.51,-718.13
2015-01-28,389.94,-718.98
2015-01-29,389.56,-718.25
2015-01-30,389.96,-718.04
2015-01-31,389.88,-718.99
2015-02-01,389.84,-719.62
2015-02-02,390.02,-719.86
2015-02-03,390.27,-720.03
2015-02-04,390.62,-719.88
2015-02-05,391.31,-720.11
2015-02-06,391.3,-720.46
2015-02-07,391.51,-720.44
2015-02-08,391.56,-719.94
2015-02-09,390.97,-719.94
2015-02-10,390.73,-720.63
2015-02-11,390.62,-721.59
2015-02-12,390.16,-721.03
2015-02-13,390.94,-720.82
2015-02-14,391.08,-720.06
2015-02-15,391.22,-720.69
2015-02-16,390.62,-720.95
2015-02-17,390.71,-721.38
2015-02-18,391.08,-721.85
2015-02-19,391.32,-720.95
2015-02-20,392.01,-721.28
2015-02-21,390.99,-721.92
2015-02-22,391.27,-722.75
2015-02-23,393.72,-719.54
2015-02-24,390.49,-723.01
2015-02-25,391.75,-722.02
2015-02-26,391.73,-722.18
2015-02-27,392.18,-723.3
2015-02-28,393.11,-721.63
2015-03-01,393.59,-723.36
2015-03-02,392.46,-722.99
2015-03-03,392.25,-722.91
2015-03-04,392.13,-723.29
2015-03-05,391.91,-723.46
2015-03-06,391.56,-723.93
2015-03-07,392.4,-724.45
2015-03-08,392.08,-723.48
2015-03-09,392.53,-723.8
2015-03-10,392.4,-724.84
2015-03-11,391.6,-724.55
2015-03-12,393.55,-723.59
2015-03-13,391.97,-725.09
2015-03-14,392.34,-724
2015-03-15,392.41,-726.1
2015-03-16,392.13,-725.03
2015-03-17,392,-724.75
2015-03-18,391.26,-724.28
2015-03-19,391.72,-723.84
2015-03-20,391.99,-725.25
