DATE,NORTH,EAST
2015-01-17,148.45,-79.15
2015-01-18,148.5,-81.28
2015-01-19,147.8,-78.21
2015-01-20,148.78,-76.62
2015-01-21,148.22,-76.07
2015-01-22,145.87,-76.93
2015-01-23,149.22,-73.93
2015-01-24,148.94,-74.55
2015-01-25,151.01,-74.62
2015-01-26,150.58,-75.58
2015-01-27,149.44,-76.59
2015-01-28,154.32,-74.08
2015-01-29,149.98,-73.36
2015-01-30,151.19,-73.24
2015-01-31,150.62,-76.49
2015-02-01,151.97,-73.69
2015-02-02,149.95,-79.12
2015-02-03,148.52,-75.33
2015-02-05,152.34,-76.22
2015-02-06,149.84,-71.99
2015-02-07,148.69,-74.1
2015-02-08,149.61,-73.6
2015-02-09,150.12,-74.21
2015-02-10,147.68,-75.26
2015-02-11,147.11,-73.04
2015-02-12,144.51,-73.14
2015-02-13,147.92,-74.23
2015-02-14,150.16,-69.56
2015-02-15,153.03,-69.43
2015-02-16,153.85,-67.59
2015-02-17,148.73,-69.84
2015-02-18,150.66,-75.49
2015-02-19,150.61,-74.81
2015-02-20,149.64,-77.51
2015-02-21,147.65,-76.87
2015-02-22,148.06,-73.68
2015-02-23,150.68,-75.04
2015-02-24,151.61,-72.79
2015-02-25,151.01,-75.4
2015-02-26,159.09,-73.54
2015-02-27,151.51,-72.55
2015-02-28,150.86,-75.81
2015-03-01,153.04,-75.61
2015-03-02,151.01,-75.46
2015-03-03,151.85,-73.84
2015-03-04,149.87,-74.84
2015-03-05,152.77,-75.44
2015-03-06,146.66,-75.08
2015-03-07,149.31,-74.67
2015-03-08,150.49,-76.71
2015-03-09,148.93,-74.45
2015-03-10,150.03,-75.63
2015-03-11,148.49,-76.29
2015-03-12,149.06,-77.83
2015-03-13,152.54,-77.83
2015-03-14,151.74,-75.96
2015-03-15,153.39,-79.41
2015-03-16,151.67,-76.66
2015-03-17,148.21,-79.61
2015-03-18,149.48,-78.63
2015-03-19,150.55,-78.61
2015-03-20,149.68,-80.08
2015-03-21,152.73,-78.37
2015-03-22,152.01,-81.54
2015-03-23,151.44,-80.58
2015-03-24,148.57,-78.76
2015-03-25,148.58,-79.95
2015-03-26,152.64,-75.31
2015-03-27,153.18,-75.61
2015-03-28,153.51,-75.24
2015-03-29,157.84,-77.51
2015-03-30,155.4,-79.31
2015-03-31,153.23,-82.07
2015-04-01,150.45,-83.38
2015-04-02,153.25,-85.67
2015-04-03,150.14,-79.68
2015-04-04,153.14,-77.18
2015-04-05,154.89,-79.18
2015-04-06,147.72,-79
