DATE,NORTH,EAST
2015-01-01,76.9,-84.27
2015-01-02,77.32,-86.37
2015-01-03,75.06,-89.63
2015-01-04,78.03,-88.98
2015-01-05,78.64,-84.54
2015-01-06,76.33,-86.74
2015-01-07,75.27,-86.1
2015-01-08,79.46,-79.6
2015-01-09,75.29,-79.43
2015-01-10,77.97,-82.85
2015-01-11,75.12,-83.71
2015-01-12,75.67,-81.55
2015-01-13,77.31,-81.24
2015-01-14,78.09,-79.74
2015-01-15,79.17,-81.55
2015-01-16,79.01,-85.91
2015-01-17,79.03,-86.08
2015-01-18,79.03,-81.5
2015-01-19,77.48,-83.69
2015-01-20,78.38,-84.26
2015-01-21,79.06,-83.03
2015-01-22,77.26,-85.76
2015-01-23,78.19,-86.51
2015-01-24,77.68,-80.85
2015-01-25,77.45,-84.56
2015-01-26,76.58,-85.47
2015-01-27,80.33,-84.99
2015-01-28,78.79,-84.8
2015-01-29,77.76,-87.11
2015-01-30,73.29,-82.27
2015-01-31,78.92,-83.35
2015-02-01,76.24,-87.59
2015-02-02,77.26,-84.75
2015-02-03,76.54,-79.56
2015-02-04,76.86,-83.28
2015-02-05,76.59,-84.84
2015-02-06,77.8,-82.06
2015-02-07,80.71,-85.9
2015-02-08,75.53,-80.74
2015-02-09,77.61,-82.14
2015-02-10,78.45,-87.45
2015-02-11,78.51,-79.87
2015-02-12,79.43,-84.99
2015-02-13,78.07,-82.78
2015-02-14,78.72,-87.58
2015-02-15,78.83,-82.86
2015-02-16,78.4,-81.06
2015-02-17,77.83,-80.49
2015-02-18,78.55,-81.96
2015-02-19,78.33,-83.08
2015-02-20,85.02,-82.73
2015-02-21,83.32,-76.93
2015-02-22,77.88,-63.63
2015-02-23,80.07,-83.57
2015-02-24,80.37,-85.72
2015-02-25,79.4,-85.28
2015-02-26,78.49,-83.26
2015-02-27,76.03,-81.1
2015-02-28,77.25,-84.93
2015-03-01,81.95,-95.54
2015-03-02,78.94,-95.02
2015-03-03,74.47,-90.08
2015-03-04,71.15,-86.12
2015-03-05,78.06,-85.2
2015-03-06,78.83,-88.62
2015-03-07,77.58,-84.56
2015-03-08,75.87,-86.91
2015-03-09,74.64,-123.09
2015-03-10,74.61,-72.92
2015-03-11,86.13,-70.46
2015-03-12,59,-82.99
2015-03-13,87.86,-26.13
2015-03-14,74.23,-86.99
2015-03-15,78.9,-85.63
2015-03-16,66.97,-90.69
2015-03-18,83.45,-80.13
2015-03-26,70.35,-89.27
2015-03-30,70.14,-84.37
2015-04-02,78.02,-72.61
2015-04-03,85.28,-87.73
2015-04-04,78.58,-70.59
2015-04-05,73.66,-100.85
2015-04-06,79.02,-92.58
2015-04-07,77.72,-89.99
2015-04-08,88.02,-86.47
2015-04-09,76.37,-53.16
2015-04-10,76.29,-78.66
2015-04-11,65.27,-91.06
2015-04-12,64.41,-98.33
2015-04-13,86.5,-79.99
2015-04-14,64,-80.59
2015-04-15,79.14,-87.84
2015-04-16,78.05,-107.25
2015-04-17,65.18,-83.72
2015-04-18,81.95,-81.89
2015-04-19,80.37,-93.12
2015-04-20,79.9,-92.23
2015-04-21,76.63,-77.17
2015-04-22,80.25,-90.73
2015-04-23,76.32,-87.79
2015-04-24,73.54,-113.52
2015-04-25,68.28,-86.36
2015-04-26,76.38,-71.16
2015-04-27,64.2,-86.34
2015-04-28,81.32,-88.65
2015-04-29,76.94,-84.29
2015-04-30,73.35,-84.32
2015-05-01,80.06,-102.42
2015-05-02,72.31,-91.93
2015-05-03,74.37,-65.2
2015-05-04,71.56,-90.77
2015-05-05,82.96,-87.95
2015-05-06,82.72,-71.76
2015-05-07,93.75,-60
2015-05-08,78.23,-82.39
2015-05-09,100,-103.66
2015-05-10,79.83,-72.15
2015-05-11,78.34,-93.44
2015-05-12,76.82,-92.08
2015-05-13,74.84,-76.78
2015-05-14,74.17,-83.08
2015-05-15,76.5,-92.57
2015-05-16,76.07,-83.93
2015-05-17,79.66,-90.71
2015-05-18,72.56,-83.58
2015-05-19,88.37,-68.8
2015-05-20,74.69,-85.61
2015-05-21,83.81,-67.35
2015-05-22,72.05,-81.01
2015-05-23,76.81,-89.73
2015-05-24,77.57,-86.53
2015-05-25,76.66,-90.96
2015-05-26,79.6,-97.94
2015-05-27,75.08,-84.4
2015-05-28,74.88,-85.52
2015-05-29,79.5,-86.91
2015-05-30,77.96,-89.41
2015-05-31,78.92,-96.81
2015-06-01,72.56,-83.55
2015-06-02,71.64,-87.41
2015-06-03,74.95,-82.24
2015-06-04,82.89,-77.51
2015-06-05,76.03,-76.97
