DATE,NORTH,EAST
2015-01-01,39.49,230.12
2015-01-02,39.59,226.39
2015-01-03,39.41,227.75
2015-01-04,40.44,228.95
2015-01-05,40.96,228.46
2015-01-06,40.39,229.58
2015-01-07,41.22,227.5
2015-01-08,43.09,227
2015-01-09,38.7,226.2
2015-01-10,38.04,226.12
2015-01-11,39.96,225.68
2015-01-12,38.42,227.16
2015-01-13,38.64,227.26
2015-01-14,40.18,228.58
2015-01-15,40.63,226.26
2015-01-16,38.93,225.3
2015-01-17,37.54,225.73
2015-01-18,39.25,225.93
2015-01-19,39.87,226.12
2015-01-20,38.34,226.67
2015-01-21,39.7,226.78
2015-01-22,41.02,227.33
2015-01-23,41.58,228.43
2015-01-24,42.7,227.16
2015-01-25,38.4,224.69
2015-01-26,36.53,226.74
2015-01-27,38.01,226.47
2015-01-28,39,226.47
2015-01-29,37.95,228.69
2015-01-30,37.24,228.14
2015-01-31,38.16,228.21
2015-02-01,39.96,227.08
2015-02-02,40.09,225.27
2015-02-03,40.94,225.99
2015-02-04,38.67,225.89
2015-02-05,39.16,225.46
2015-02-06,37.9,226.28
2015-02-07,39.82,225.8
2015-02-08,39.48,224.14
2015-02-09,38.98,224.67
2015-02-10,37.14,224.98
2015-02-11,38.71,226.01
2015-02-12,38.68,226.43
2015-02-13,37.23,228.61
2015-02-14,37.23,228.21
2015-02-15,36.55,227.54
2015-02-16,38.35,226.9
2015-02-17,38.89,225.57
2015-02-18,38.83,226.07
2015-02-19,39.14,224.85
2015-02-20,38.63,227.75
2015-02-21,38.28,227.19
2015-02-22,37.1,227.39
2015-02-23,38.2,226.47
2015-02-24,36.91,226.81
2015-02-25,39.01,227.73
2015-02-26,37.78,228.1
2015-02-27,38.9,230.28
2015-02-28,39.56,226.51
2015-03-01,39.21,226.92
2015-03-02,36.66,228.01
2015-03-03,37.31,229.52
2015-03-04,38.27,229.36
2015-03-05,38.19,228.38
2015-03-06,39.19,226.98
2015-03-07,37.76,226.66
2015-03-08,39.81,228.87
2015-03-09,38.9,228.48
2015-03-10,37.63,229.54
2015-03-11,38,232.21
2015-03-12,38.83,227.34
2015-03-13,38.23,227.43
2015-03-14,37.57,229.6
2015-03-15,37.92,228.05
2015-03-16,39.77,230.58
2015-03-17,38.69,229.18
2015-03-18,39.17,229.17
2015-03-19,39.48,229.53
2015-03-20,38.41,227.18
2015-03-21,36.66,227.16
2015-03-22,37.63,228.74
2015-03-23,37.71,230.37
2015-03-24,37.46,227.2
2015-03-25,39.46,228.61
2015-03-26,38.94,229.1
2015-03-27,38.92,227.28
2015-03-28,39.63,227.79
2015-03-29,37.86,226.52
2015-03-30,36.39,225.96
2015-03-31,38.31,228.06
2015-04-01,39.46,228.6
2015-04-02,38.74,228.91
2015-04-03,38.25,228.87
2015-04-04,38.63,228.19
2015-04-05,38.88,226.45
2015-04-06,39.87,229.09
2015-04-07,38.59,228.5
2015-04-08,37.75,228.04
2015-04-09,38.45,227.27
2015-04-10,40.66,229.09
2015-04-11,40.01,226.45
2015-04-12,37.95,226.73
2015-04-13,37.72,227.75
