DATE,NORTH,EAST
2015-01-01,29.11,-37.48
2015-01-02,29.77,-36.73
2015-01-03,30.46,-37.23
2015-01-04,28.81,-36.89
2015-01-05,28.67,-37.16
2015-01-06,29.6,-37.36
2015-01-07,30.5,-37.35
2015-01-08,30.72,-37.91
2015-01-09,30.63,-37.97
2015-01-10,30.21,-37.45
2015-01-11,29.31,-37.54
2015-01-12,28.87,-37.58
2015-01-13,29.01,-38.48
2015-01-14,28.14,-37.58
2015-01-15,27.95,-37.57
2015-01-16,28.92,-38.04
2015-01-17,30.62,-36.65
2015-01-18,29.44,-37.65
2015-01-19,29.48,-36.91
2015-01-20,30.99,-37.76
2015-01-21,30.01,-37.45
2015-01-22,31.39,-36.35
2015-01-23,30.32,-37.61
2015-01-24,29.32,-38.53
2015-01-25,29.99,-37.73
2015-01-26,30.16,-38.08
2015-01-27,29.15,-37.79
2015-01-28,30.25,-36.79
2015-01-29,30.2,-37.06
2015-01-30,31.23,-37.4
2015-01-31,31.38,-37.43
2015-02-01,30.71,-37.05
2015-02-02,31.5,-37.58
2015-02-03,30.81,-37.43
2015-02-04,29.98,-37.17
2015-02-05,30.56,-37.76
2015-02-06,31.7,-37.98
2015-02-07,32.15,-37.55
2015-02-08,30.3,-38.22
2015-02-09,31.87,-37.12
2015-02-10,32.67,-36.82
2015-02-11,32.82,-37.84
2015-02-12,32.37,-37.74
2015-02-13,32.82,-37.39
2015-02-14,32.14,-37.1
2015-02-15,32.3,-36.97
2015-02-16,32.53,-37.55
2015-02-17,33.71,-37.83
2015-02-18,33.65,-37.56
2015-02-19,34.76,-37.37
2015-02-20,34.55,-37.11
2015-02-21,35.1,-37.52
2015-02-22,34.47,-38.45
2015-02-23,35.47,-38.7
2015-02-24,33.46,-37.53
2015-02-25,33.46,-37.45
2015-02-26,33.55,-37.51
2015-02-27,32.54,-37.49
2015-02-28,34.09,-37.43
2015-03-01,32.23,-37.97
2015-03-02,33.79,-37.64
2015-03-03,33.64,-38.7
2015-03-04,32.61,-38.03
2015-03-05,30.62,-37.71
2015-03-06,32.72,-38.58
2015-03-07,32.65,-38.49
2015-03-08,31.74,-38.25
2015-03-09,32.11,-38.1
2015-03-10,32.26,-37.07
2015-03-11,32.69,-37.72
2015-03-12,32.88,-38.4
2015-03-13,32.17,-37.73
2015-03-14,33.37,-37.94
2015-03-15,33.68,-38.69
2015-03-16,35.51,-38.74
2015-03-17,33.92,-39.22
2015-03-18,34.52,-38.72
2015-03-19,33.86,-38.01
2015-03-20,32.92,-38.41
2015-03-21,34.2,-38.88
2015-03-22,34.11,-39.36
2015-03-23,35.37,-37.63
2015-03-24,35.77,-37.62
2015-03-25,35.44,-37.97
2015-03-26,36.02,-37.49
2015-03-27,36.87,-38.4
2015-03-28,35.88,-38.49
2015-03-29,36.05,-37.05
2015-03-30,35.03,-38.02
2015-03-31,34.14,-36.18
2015-04-01,34.73,-37.67
2015-04-02,33.89,-38.7
2015-04-03,34.55,-39.6
2015-04-04,33.09,-37.06
2015-04-05,34.44,-37.69
2015-04-06,33.07,-39.15
2015-04-07,33.48,-37.81
2015-04-08,34.2,-37.59
2015-04-09,33.8,-37.24
2015-04-10,34.89,-38.79
2015-04-11,35.72,-39.3
2015-04-12,36.32,-38.05
2015-04-13,35.96,-37.29
