DATE,NORTH,EAST
2015-01-01,167.98,-581.35
2015-01-02,167.71,-581.45
2015-01-03,167.51,-581.56
2015-01-04,168.53,-582.41
2015-01-05,169.17,-581.66
2015-01-06,167.51,-581.04
2015-01-07,168.17,-581.46
2015-01-08,168.72,-581.85
2015-01-09,168.15,-583.01
2015-01-10,168.09,-582.45
2015-01-11,167.83,-582.65
2015-01-12,168.06,-582.6
2015-01-13,166.93,-581.95
2015-01-14,168.01,-581.92
2015-01-15,168.31,-581.77
2015-01-16,169.06,-583.33
2015-01-17,169.98,-583.28
2015-01-18,169.23,-583.55
2015-01-19,168.97,-583.26
2015-01-20,169.19,-583.01
2015-01-21,167.59,-583.53
2015-01-22,169,-583.33
2015-01-23,169.46,-584.26
2015-01-24,169.91,-583.48
2015-01-25,167.49,-584.8
2015-01-26,170.07,-583.84
2015-01-27,169.15,-582.37
2015-01-28,168.34,-583.71
2015-01-29,168.85,-584.06
2015-01-30,167.65,-577.64
2015-01-31,166.1,-582.32
2015-02-01,167.56,-585.05
2015-02-02,168.14,-584.03
2015-02-03,168.31,-584.44
2015-02-04,169.67,-584.98
2015-02-05,169.81,-584.1
2015-02-06,169.65,-584.02
2015-02-07,170.51,-586.14
2015-02-08,169,-585.72
2015-02-09,170.55,-584.97
2015-02-10,168.94,-584.66
2015-02-11,168.54,-584.5
2015-02-12,168.81,-584.66
2015-02-13,169.93,-584.75
2015-02-14,169.86,-584.65
2015-02-15,169.76,-584.9
2015-02-16,169.24,-584.9
2015-02-17,169.13,-585.39
2015-02-18,169.45,-584.29
2015-02-19,170.39,-584.84
2015-02-20,170.16,-584.38
2015-02-21,169.35,-585.52
2015-02-22,170.1,-585.07
2015-02-23,169.34,-584.8
2015-02-24,169.46,-584.53
2015-02-25,166.81,-582.94
2015-02-26,169.95,-585.35
2015-02-27,169.47,-585.38
2015-02-28,170.84,-586.89
2015-03-01,168.76,-585.57
2015-03-02,168.69,-586.34
2015-03-03,169.02,-586.14
2015-03-04,169.78,-586.09
2015-03-05,170.25,-586.81
2015-03-06,169.57,-586.37
2015-03-07,170.52,-586.5
2015-03-08,170.52,-586.86
2015-03-09,170.63,-586.82
2015-03-10,170.49,-586.62
2015-03-11,169.72,-587.46
2015-03-12,169.76,-586.24
2015-03-13,169.34,-587.19
2015-03-14,170.81,-586.41
2015-03-15,170.86,-586.61
2015-03-16,169.59,-587.31
2015-03-17,169.17,-587.4
2015-03-18,170.64,-587.06
2015-03-19,168.98,-588.45
2015-03-20,170.58,-586.34
2015-03-21,170.24,-586.8
2015-03-22,169.94,-586.01
2015-03-23,170.79,-588.54
2015-03-24,171.4,-587.99
2015-03-25,171.05,-587.19
2015-03-26,170.26,-587.65
2015-03-27,170.77,-586.19
2015-03-28,170.3,-588.62
2015-03-29,170.98,-587.24
2015-03-30,171.18,-587.88
2015-03-31,170.2,-589.02
2015-04-01,171.19,-587.6
2015-04-02,170.38,-588.2
2015-04-03,170.33,-587.7
2015-04-04,169.88,-588.84
2015-04-05,169.04,-588.39
2015-04-06,169.01,-589.03
2015-04-07,169.04,-588.52
2015-04-08,170.05,-589.38
2015-04-09,169.85,-589.31
2015-04-10,170.58,-589.74
2015-04-11,171.25,-588.46
2015-04-12,170.94,-589.7
2015-04-13,170.92,-590.39
2015-04-14,171.18,-589.6
2015-04-15,170.67,-589.7
2015-04-16,170.41,-589.15
2015-04-17,171.14,-589.06
2015-04-18,171,-589.98
2015-04-19,171.71,-590.44
2015-04-20,171.56,-588.74
2015-04-21,173.21,-589.6
2015-04-22,170.99,-589.34
2015-04-23,171.47,-592.22
2015-04-24,171.85,-589.92
2015-04-25,171.55,-588.78
2015-04-26,171.59,-590.07
2015-04-27,170.63,-590.44
2015-04-28,172.34,-590.18
2015-04-29,171.99,-590.56
2015-04-30,171.48,-592.32
2015-05-01,170.87,-593.38
2015-05-02,172.41,-592.31
2015-05-03,171.87,-591.92
2015-05-04,172.59,-591.52
2015-05-05,172.6,-590.14
2015-05-06,173.18,-589.4
2015-05-07,173.6,-589.93
2015-05-08,171.67,-589.71
2015-05-09,171.51,-590.69
2015-05-10,171.85,-591.23
2015-05-11,172.68,-591.71
2015-05-12,171.86,-591.33
2015-05-13,172.07,-590.6
2015-05-14,169.44,-591.91
2015-05-15,171.12,-591.29
2015-05-16,173.25,-591.31
2015-05-17,170.33,-592.81
2015-05-18,172.22,-594.02
2015-05-19,173.11,-592.59
2015-05-20,171.21,-592.68
2015-05-21,174.06,-591.37
2015-05-22,173.49,-592.05
2015-05-23,173.18,-593.53
2015-05-24,174.1,-592.08
2015-05-25,172.87,-593.8
2015-05-26,172.5,-592.51
2015-05-27,173.03,-593.05
2015-05-28,173.09,-593.4
2015-05-29,172.94,-593.19
2015-05-30,173.79,-593.12
2015-05-31,172.59,-593.73
2015-06-01,171.02,-593.5
2015-06-02,173.45,-592.57
2015-06-03,173.29,-593.22
2015-06-04,171.32,-594.68
2015-06-05,172.78,-594.19
2015-06-06,172.8,-593.41
2015-06-07,172.33,-594.51
2015-06-08,173.12,-594.83
2015-06-09,172.79,-594.7
2015-06-10,172.58,-593.61
2015-06-11,172.62,-593.5
2015-06-12,172.59,-595.05
2015-06-13,173.98,-595.77
2015-06-14,172.11,-595.2
2015-06-15,171.67,-596.27
2015-06-16,174.12,-594.76
2015-06-17,174.28,-594
2015-06-18,173.51,-594.66
2015-06-19,173.76,-595.31
2015-06-20,173.34,-594.81
2015-06-21,174.88,-593.91
2015-06-22,174.65,-594.71
2015-06-23,173.56,-595.01
2015-06-24,172.49,-596.54
2015-06-25,174.45,-595.98
2015-06-26,173,-596.73
2015-06-27,173.03,-595.4
2015-06-28,173.19,-596.18
2015-06-29,174.22,-595.86
2015-06-30,175.45,-595.68
2015-07-01,173.2,-596.31
2015-07-02,174.2,-595.38
2015-07-03,172.69,-599.22
2015-07-04,173.02,-598.6
2015-07-05,173.48,-598.02
2015-07-06,172.19,-602.54
2015-07-07,173.51,-598.53
2015-07-08,173.08,-599.01
2015-07-09,171.61,-599.58
2015-07-10,172.92,-597.66
2015-07-11,173.42,-597.92
2015-07-12,172.1,-598.48
2015-07-13,172.49,-599.17
2015-07-14,171.93,-597.15
2015-07-15,172.94,-597.29
2015-07-16,173.21,-597.85
2015-07-17,174.21,-599.52
2015-07-18,172.53,-597.03
2015-07-20,175.92,-596.47
2015-07-21,172.96,-599.02
2015-07-22,172.75,-598.85
2015-07-23,169.95,-598.66
2015-07-24,173.31,-597.85
2015-07-25,173.65,-598.27
2015-07-26,172.75,-597.42
2015-07-27,173.92,-597.79
2015-07-28,174.78,-596.63
2015-07-29,174.23,-595.57
2015-07-30,175.95,-596.31
2015-07-31,173.17,-597.17
2015-08-01,172.5,-599.97
2015-08-02,173.69,-599.77
2015-08-03,173.72,-599.05
2015-08-04,173.96,-599.13
2015-08-05,173.01,-598.67
2015-08-06,173.36,-600.07
2015-08-07,173.36,-599.01
2015-08-08,175,-599.34
2015-08-09,172.77,-599.6
2015-08-10,172.44,-601.13
2015-08-11,174.74,-600.51
2015-08-12,171.96,-601.85
2015-08-13,173.93,-600.86
2015-08-14,174.63,-601.06
2015-08-15,173.8,-601.85
2015-08-16,173.8,-601.3
2015-08-17,173.7,-601.46
2015-08-18,174.76,-600.1
2015-08-19,174.38,-601.11
2015-08-20,174.07,-600.87
2015-08-21,175.66,-601.33
2015-08-22,173.69,-601.88
2015-08-23,173.92,-602.09
2015-08-24,174.51,-603.66
2015-08-25,174.46,-602.28
2015-08-26,174.03,-601.23
2015-08-27,175.93,-601.23
2015-08-28,174.97,-601.51
2015-08-29,172.47,-603.85
2015-08-30,171.42,-604.35
2015-08-31,174.75,-601.54
2015-09-01,172.97,-601.68
2015-09-02,172.01,-604.41
2015-09-03,172.73,-602.53
2015-09-04,171.94,-602.76
2015-09-05,174.04,-603.1
2015-09-06,171.65,-604.45
2015-09-07,172.75,-604.4
2015-09-08,173.98,-601.7
2015-09-09,173.22,-603.75
2015-09-10,170.04,-599.82
2015-09-11,174.57,-603.13
2015-09-12,172.66,-601.75
2015-09-13,171.54,-606.37
