DATE,NORTH,EAST
2018-01-14,0,0
2018-01-15,-0.73,-1.17
2018-01-16,0.42,-0.88
2018-01-17,0.62,-0.82
2018-01-18,0.97,-0.19
2018-01-19,-0.2,-0.64
2018-01-20,-0.82,-0.54
2018-01-21,1.02,0.11
2018-01-22,1.7,-1.15
2018-01-23,1.09,-0.16
2018-01-24,2.15,-1.19
2018-01-25,0.88,-1.33
2018-01-26,2.3,-1.42
2018-01-27,1.07,-0.9
2018-01-28,1.85,-2.2
2018-01-29,2.69,-1.44
2018-01-30,1.98,-1.7
2018-01-31,2.37,-2.37
2018-02-01,1.97,-2.12
2018-02-02,1.91,-1.72
2018-02-03,2.55,-2.31
2018-02-04,3.05,-2.67
2018-02-05,2.96,-2.28
2018-02-08,2.84,-3.22
2018-02-09,2.26,-2.46
2018-02-10,2.53,-2.74
2018-02-11,1.08,-3.16
2018-02-12,1.41,-3.34
2018-02-13,2.64,-3.84
2018-02-14,2.56,-3.74
2018-02-15,2.04,-3.78
2018-02-16,2.17,-2.97
2018-02-17,2.96,-3.77
2018-02-18,1.05,-4.19
2018-02-19,1.89,-5.01
2018-02-20,2.85,-4.59
2018-02-21,2.23,-5.06
2018-02-22,1.91,-4.61
2018-02-23,2.49,-4.08
2018-02-24,2.91,-4.4
2018-03-04,2.12,-5.45
2018-03-05,2.37,-6.09
2018-03-06,1.77,-5.03
2018-03-07,2.11,-6.07
2018-03-08,2.2,-7.09
2018-03-09,2.04,-4.79
2018-03-10,2.58,-6.55
2018-03-11,1.43,-6.26
2018-03-12,1.92,-5.62
2018-03-13,3.9,-6.1
2018-03-14,1.56,-6.15
2018-03-15,1.48,-3.41
2018-03-16,1.85,-6.69
2018-03-17,1.78,-8.36
2018-03-18,3.82,-6.71
2018-03-19,4,-7
2018-03-20,4.38,-5.94
2018-03-21,3.35,-8.71
2018-03-22,2.84,-7.02
2018-03-23,3.84,-8.1
2018-03-24,3.01,-8.02
2018-03-25,4.22,-8.35
2018-03-26,3.58,-8.26
2018-03-27,3.83,-7.98
2018-03-28,4.55,-7.51
2018-03-29,4.09,-7.06
2018-03-30,4.95,-7.78
2018-03-31,4.49,-8.19
2018-04-15,4.5,-9.33
2018-04-16,1.99,-11.01
2018-04-17,3.51,-9.13
2018-04-18,4.47,-9.74
2018-04-19,4.27,-10.37
2018-04-20,4.22,-10.61
2018-04-21,5.34,-10.85
2018-05-13,7.14,-13.29
2018-05-14,6.43,-14.34
2018-05-15,6.57,-13.2
2018-05-16,6.84,-14.24
2018-05-17,5.88,-13.98
2018-05-18,7.29,-14.61
2018-05-19,7.33,-13.62
2018-05-20,6.76,-13.34
2018-05-21,6.6,-14.32
2018-05-22,6.71,-14.62
2018-05-23,6.7,-14.41
2018-05-24,7.5,-14.08
2018-05-25,7.94,-15.02
2018-05-26,7.4,-14.12
2018-05-27,8.21,-14.96
2018-05-28,7.49,-15.75
2018-05-29,7.33,-15.82
2018-05-30,7.23,-15.15
2018-05-31,7.4,-15.11
2018-06-01,7.1,-14.95
2018-06-02,7.34,-14.85
2018-06-10,7.34,-16.07
2018-06-11,7.44,-16.15
2018-06-12,7.53,-15.14
2018-06-13,7.47,-16.32
2018-06-14,7.49,-15.88
2018-06-15,6.06,-15.49
2018-06-16,6.99,-16.89
2018-06-17,7.59,-16.48
2018-06-18,7.44,-16.79
2018-06-19,7.52,-16.74
2018-06-20,8.11,-15.9
2018-06-21,8.1,-16.28
2018-06-22,8.06,-16.74
2018-06-23,7.03,-16.79
2018-06-24,8.02,-17.4
2018-06-25,8.09,-17.45
2018-06-26,8.82,-17.32
2018-06-27,8.35,-17.92
2018-06-28,8.34,-17.9
2018-06-29,9.1,-18.28
2018-06-30,9.33,-18.12
2018-07-01,8.47,-17.87
2018-07-02,8.4,-17.25
2018-07-03,8.59,-18
2018-07-04,8.13,-18.7
2018-07-05,8.99,-19.52
2018-07-06,8.89,-19.64
2018-07-07,8.08,-18.48
2018-07-08,8.42,-19.09
2018-07-09,9.91,-18.83
2018-07-10,9.75,-18.23
2018-07-11,8.35,-18.58
2018-07-12,9.13,-19.92
2018-07-13,9.18,-19.71
2018-07-14,9.78,-19.55
2018-07-15,9.6,-19.42
2018-07-16,9.73,-20.46
2018-07-17,10.24,-19.36
2018-07-18,10.7,-19.64
2018-07-19,9.06,-18.74
2018-07-20,10.6,-20.02
2018-07-21,9.61,-20.05
2018-07-22,9.41,-20.73
2018-07-23,10.02,-20.42
2018-07-24,10.6,-20.29
2018-07-25,10.19,-20.21
2018-07-26,9.65,-19.5
2018-07-27,11.6,-21.66
2018-07-28,10.93,-21.11
2018-07-29,9.91,-22.5
2018-07-30,11.85,-21.82
2018-07-31,10.46,-22.3
2018-08-01,11.5,-22
2018-08-02,10.92,-22.67
2018-08-03,9.98,-21.26
2018-08-04,10.72,-21.83
2018-08-05,10.64,-21.83
2018-08-06,11.08,-22.26
2018-08-07,10.45,-22.43
2018-08-08,8.38,-23.02
2018-08-09,8.96,-22.88
2018-08-10,10.88,-22.85
2018-08-11,10.9,-24.18
2018-08-12,10.04,-23.27
2018-08-13,11.79,-23.53
2018-08-14,10.65,-23.7
2018-08-15,11.49,-23.78
2018-08-16,12.14,-23.57
2018-08-17,10.78,-22.74
2018-08-18,11.2,-23.67
2018-08-19,10.76,-23.56
2018-08-20,11.33,-22.45
2018-08-21,10.58,-22.63
2018-08-22,11.18,-23.92
2018-08-23,11.18,-23.7
2018-08-24,11.13,-24.81
2018-08-25,11.44,-24.09
2018-08-26,11.32,-24.04
2018-08-27,11.19,-23.91
2018-08-28,10.67,-24.12
2018-08-29,11.56,-24.67
2018-08-30,11.03,-24.91
2018-08-31,12.28,-23.75
2018-09-01,11.47,-24.26
2018-09-02,10.63,-24.5
2018-09-03,11.37,-24.44
2018-09-04,10.94,-25.46
2018-09-05,11.7,-24.93
2018-09-06,11.8,-25.33
2018-09-07,11.26,-24.61
2018-09-08,11.71,-24.71
2018-09-10,11.21,-24.23
2018-09-11,11.12,-25.66
2018-09-12,11.65,-25.93
2018-09-13,11.55,-27.34
2018-09-14,11.62,-27.92
2018-09-15,11.87,-26.57
