DATE,NORTH,EAST
2015-01-01,-106.56,-58.02
2015-01-02,-107.3,-58.51
2015-01-03,-106.31,-57.68
2015-01-04,-107.06,-58.26
2015-01-05,-105.85,-57.96
2015-01-06,-106.39,-57.59
2015-01-07,-105.3,-57.49
2015-01-08,-107.36,-59.86
2015-01-09,-107.62,-58.85
2015-01-10,-106.95,-59.05
2015-01-11,-107.1,-58.76
2015-01-12,-107.06,-57.84
2015-01-13,-106.92,-57.85
2015-01-14,-107.03,-58.05
2015-01-15,-106.18,-58.31
2015-01-16,-107.45,-58.72
2015-01-17,-106.09,-58.72
2015-01-18,-108.86,-57.95
2015-01-19,-107.45,-57.27
2015-01-20,-105.47,-57.44
2015-01-21,-106.66,-57.82
2015-01-22,-107.02,-58.62
2015-01-23,-104.26,-57.94
2015-01-24,-106.41,-57.55
2015-01-25,-106.67,-57.79
2015-01-26,-105.8,-58.48
2015-01-27,-106.01,-57.98
2015-01-28,-105.13,-58.08
2015-01-29,-105.33,-57.4
2015-01-30,-106.3,-57.2
2015-01-31,-106.56,-57.46
2015-02-01,-106.09,-58.78
2015-02-02,-104.83,-57.98
2015-02-03,-105.94,-58.11
2015-02-04,-106.41,-57.82
2015-02-05,-105.76,-57.59
2015-02-06,-106.91,-59.46
2015-02-07,-106.17,-58.92
2015-02-08,-106.13,-57.56
2015-02-09,-106.56,-57.55
2015-02-10,-104.86,-57.59
2015-02-11,-105.88,-57.07
2015-02-12,-106.56,-57.55
2015-02-13,-106.83,-58.22
2015-02-14,-104.99,-57.58
2015-02-15,-105.25,-57.16
2015-02-16,-105.34,-57.71
2015-02-17,-105.22,-57.68
2015-02-18,-105.78,-57.7
2015-02-19,-105.94,-57.66
2015-02-20,-105.15,-57.91
2015-02-21,-106.28,-57.56
2015-02-22,-105.67,-57.18
2015-02-23,-106.34,-57.84
2015-02-24,-105.68,-58.14
2015-02-25,-105.66,-58.43
2015-02-26,-105.77,-58.4
2015-02-27,-106.19,-58.62
2015-02-28,-106.52,-58.71
2015-03-01,-106.09,-58.56
2015-03-02,-106.08,-58.47
