DATE,NORTH,EAST
2015-01-01,62.51,-127.21
2015-01-02,63.84,-128.07
2015-01-03,63.87,-129.31
2015-01-04,63.77,-126.9
2015-01-05,63.7,-126.75
2015-01-06,64.65,-126.55
2015-01-07,64.11,-126.37
2015-01-08,63.58,-127.49
2015-01-09,62.45,-125.21
2015-01-10,63.01,-127.16
2015-01-11,63.42,-127.96
2015-01-12,63.6,-127.15
2015-01-13,65.43,-128.18
2015-01-14,65.3,-126.85
2015-01-15,64.11,-127.39
2015-01-16,63.81,-126.5
2015-01-17,62.7,-128.21
2015-01-18,62.64,-126.72
2015-01-19,61.32,-127.56
2015-01-20,62.45,-129.16
2015-01-21,64.07,-128.44
2015-01-22,62.58,-127.93
2015-01-23,62.74,-128.64
2015-01-24,61.18,-126.53
2015-01-25,63.05,-128.61
2015-01-26,63.96,-128.43
2015-01-27,63.88,-127.16
2015-01-28,62.91,-127.9
2015-01-29,63,-129.49
2015-01-30,61.73,-128.24
2015-01-31,62.24,-127.03
2015-02-01,61.95,-128.16
2015-02-02,62.92,-128.51
2015-02-03,63.34,-128.42
2015-02-04,61.65,-128.34
2015-02-05,63.99,-126.91
2015-02-06,63.44,-128.27
2015-02-07,63.31,-128.21
2015-02-08,62.64,-128.08
2015-02-09,63.08,-128.28
2015-02-10,63.2,-129.19
2015-02-11,63.3,-128.35
2015-02-12,63.84,-127.99
2015-02-13,63.74,-128.68
2015-02-14,63.06,-128.78
2015-02-15,64.43,-127.72
2015-02-16,62.75,-129.1
2015-02-17,64.21,-128.57
2015-02-18,64.19,-128.28
2015-02-19,63.24,-127.63
2015-02-20,62.37,-130.17
2015-02-21,61.9,-133.25
2015-02-22,63.59,-132.55
2015-02-23,62.42,-130.54
2015-02-24,63.94,-130.47
2015-02-25,63.79,-128.28
2015-02-26,63.69,-130.43
2015-02-27,63.62,-130.3
2015-02-28,62.55,-130.78
2015-03-01,63.47,-130.65
2015-03-02,62.86,-129.84
2015-03-03,63.96,-130.56
2015-03-04,64.29,-129.75
2015-03-05,63.14,-130.39
2015-03-06,62.73,-129.87
2015-03-07,62.79,-129.94
2015-03-08,63.49,-130.35
2015-03-09,64.47,-130.04
2015-03-10,63.79,-131.24
2015-03-11,63.45,-131
2015-03-12,63.57,-131.11
2015-03-13,62.85,-131.68
2015-03-14,63.91,-130.79
2015-03-15,63.55,-129.94
2015-03-16,62.33,-129.96
2015-03-17,63.6,-130.4
2015-03-18,62.28,-129.72
2015-03-19,61.5,-131.16
2015-03-20,63.71,-132.02
2015-03-21,63.29,-131.38
2015-03-22,62.41,-131.5
2015-03-23,62.13,-131.13
2015-03-24,63.14,-131.29
2015-03-25,63.69,-132.55
2015-03-26,62.15,-130.54
2015-03-27,63.49,-131.78
2015-03-28,64.3,-131.43
2015-03-29,64.13,-132.52
2015-03-30,64.28,-131.78
2015-03-31,63.28,-131.57
2015-04-01,64.68,-132.07
2015-04-02,63.38,-131.69
2015-04-03,62.8,-132.1
2015-04-04,63.64,-132.03
2015-04-05,62.74,-131.84
2015-04-06,63.71,-131.83
2015-04-07,63.35,-132.67
2015-04-08,64.08,-132.74
2015-04-09,64.26,-133.61
2015-04-10,63.31,-131.8
2015-04-11,63,-132.43
2015-04-12,63.25,-131.88
2015-04-13,63.89,-132.8
2015-04-14,62.92,-132.58
2015-04-15,63.9,-134.57
2015-04-16,64.47,-133.55
2015-04-17,62.97,-132.81
2015-04-18,63.81,-133.67
2015-04-19,64.96,-133.6
2015-04-20,64.81,-132.56
2015-04-21,66.83,-132.78
2015-04-22,64.88,-132.46
2015-04-23,65.24,-131.81
2015-04-24,64.24,-132.16
2015-04-25,64.12,-133.17
2015-04-26,63.82,-133.2
2015-04-27,65.23,-132.25
2015-04-28,63.48,-131.95
2015-04-29,63.62,-133.18
2015-04-30,63.62,-133.65
2015-05-01,64.63,-132.67
2015-05-02,64.82,-133.57
2015-05-03,65.11,-134
2015-05-04,64.77,-134
2015-05-05,65.5,-136.62
2015-05-06,64.98,-135.51
2015-05-07,65.45,-134.89
2015-05-08,66.05,-134.24
2015-05-09,65.58,-134.9
2015-05-10,65.03,-134.06
2015-05-11,65.74,-135.75
2015-05-12,65.53,-134.47
2015-05-13,64.52,-135.4
2015-05-14,66.68,-135.47
2015-05-15,67.67,-136.37
2015-05-16,66.74,-135.28
2015-05-17,67.7,-135.61
2015-05-18,66.88,-136.21
2015-05-19,65.77,-135.48
2015-05-20,64.68,-134.64
2015-05-21,65.21,-135.91
2015-05-22,64.45,-136.01
2015-05-23,64.2,-136.85
2015-05-24,64.8,-136.85
2015-05-25,66.9,-137.09
2015-05-26,67.94,-137.06
2015-05-27,66.7,-138.01
2015-05-28,69.14,-136.79
2015-05-29,67.48,-137.58
2015-05-30,66.26,-138.83
2015-05-31,66.46,-138.35
2015-06-01,66.3,-138.54
2015-06-02,65.18,-137.35
2015-06-03,64.11,-138.05
2015-06-04,63.77,-138.76
2015-06-05,64.05,-138.46
2015-06-06,63.39,-138.13
2015-06-07,64.41,-138.34
2015-06-08,64.08,-137.83
2015-06-09,64.88,-138.5
2015-06-10,64.04,-139.44
2015-06-11,65.87,-138.95
2015-06-12,65.84,-137.35
2015-06-13,65.48,-138.2
2015-06-14,65.18,-138.38
2015-06-15,65.74,-138.47
2015-06-16,64.98,-136.99
2015-06-17,65.04,-139.2
2015-06-18,66.13,-138.56
2015-06-19,64.16,-138.01
2015-06-20,64.84,-138.56
2015-06-21,65.43,-137.83
2015-06-22,64.63,-138.07
2015-06-23,63.05,-138.31
2015-06-24,64.31,-139.07
2015-06-25,64.07,-138.66
2015-06-26,65.77,-138.85
2015-06-27,66.66,-139.01
2015-06-28,65.58,-138.01
2015-06-29,65.32,-139.07
2015-06-30,64.28,-139.46
2015-07-01,66.26,-138.82
2015-07-02,66.03,-138.38
2015-07-03,64.36,-138.42
2015-07-04,65.26,-138.44
2015-07-05,65.76,-139.87
2015-07-06,67.35,-137.33
2015-07-07,67.28,-138.99
2015-07-08,65.72,-139.58
2015-07-09,67.45,-136.94
2015-07-10,67.75,-138
2015-07-11,67.08,-137.93
2015-07-12,65.43,-138.54
2015-07-13,67.34,-137.33
2015-07-14,68.03,-138.25
2015-07-15,67.05,-137.65
2015-07-16,65.57,-137.81
2015-07-17,66.94,-138.56
2015-07-18,66.57,-138.55
2015-07-19,65.51,-137.06
2015-07-20,65.43,-139.07
2015-07-21,66.38,-139.29
2015-07-22,66.04,-137.52
2015-07-23,67.2,-137.97
2015-07-24,66.24,-138.67
2015-07-25,65.93,-138.84
2015-07-26,64.45,-140.51
2015-07-27,67.13,-139.43
2015-07-28,64.31,-139.91
2015-07-29,68.66,-139.57
2015-07-30,67.69,-138.83
2015-07-31,65.98,-139.69
2015-08-01,68.2,-139.74
2015-08-02,65.36,-138.81
2015-08-03,66.78,-139.26
2015-08-04,66.94,-138.58
2015-08-05,65.98,-138.43
2015-08-06,65.86,-137.27
2015-08-07,66.02,-138.98
2015-08-08,68.41,-138.67
2015-08-09,68.81,-139.39
2015-08-10,65.84,-140.04
2015-08-11,65.26,-139.1
2015-08-12,68.14,-138.48
2015-08-13,65.46,-139.18
2015-08-14,66.25,-139.4
2015-08-15,65.71,-140.57
2015-08-16,67.46,-139.36
2015-08-17,66.99,-139.32
2015-08-18,70.93,-140.58
2015-08-19,67.04,-137.74
2015-08-20,66.92,-139.06
2015-08-21,68.74,-139.61
2015-08-22,68.87,-140.98
2015-08-23,68.46,-138.97
2015-08-24,68.78,-140.24
2015-08-25,67.51,-139.5
2015-08-26,66.96,-142.88
2015-08-27,67.11,-143.96
2015-08-28,67.35,-140.97
2015-08-29,65.72,-141.6
2015-08-30,67.19,-141.38
2015-08-31,66.69,-141.17
2015-09-01,68.03,-142
2015-09-02,67.08,-141.17
2015-09-03,67.7,-140.26
2015-09-04,68.82,-141.44
2015-09-05,68.02,-141.45
2015-09-06,69.19,-141.44
2015-09-07,69.3,-143.06
2015-09-08,68.62,-140.62
2015-09-09,69.54,-140.19
2015-09-10,66.37,-140.65
2015-09-11,68.86,-140.06
2015-09-12,67.51,-141.32
2015-09-13,67.23,-140.73
2015-09-14,69.05,-140.56
2015-09-15,65.7,-141.29
2015-09-16,67.76,-142.45
2015-09-17,68,-141.81
2015-09-18,67.86,-140.49
2015-09-19,69.92,-142.13
2015-09-20,67.44,-142.18
2015-09-21,67.62,-141.23
2015-09-22,67.35,-140.79
2015-09-23,68.48,-142.12
2015-09-24,67.78,-140.85
2015-09-25,67.4,-141.56
2015-09-26,67.59,-142.21
2015-09-27,67.53,-141.42
2015-09-28,66.95,-141.25
2015-09-29,66.41,-140.53
2015-09-30,68.42,-140.92
2015-10-01,68.33,-141.04
